variable,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,p.adj.signif,level
Akashiwo.sanguinea,-0.0167109951360829,value,Plastisphere,Seawater,92,92,3674,0.123,-0.0540723142600087,0.00420493591120458,Wilcoxon,two.sided,0.123,ns,ns
Alexandrium.andersonii,-5.36439057654133e-05,value,Plastisphere,Seawater,92,92,3868,0.178,-8.00058005739025e-07,2.9725176980569e-05,Wilcoxon,two.sided,0.178,ns,ns
Alexandrium.hiranoi,-7.78834947387561e-05,value,Plastisphere,Seawater,92,92,3931.5,0.307,-3.58709308382997e-06,5.36883230322248e-05,Wilcoxon,two.sided,0.307,ns,ns
Alexandrium.ostenfeldii,5.59164088776637e-06,value,Plastisphere,Seawater,92,92,4739.5,0.137,-7.193037262392e-05,0.0163799956648928,Wilcoxon,two.sided,0.137,ns,ns
Alexandrium.tamarense,2.60921059208783e-05,value,Plastisphere,Seawater,92,92,4424,0.583,-1.13439555309465e-05,0.00656478956599961,Wilcoxon,two.sided,0.583,ns,ns
Amphidinium.klebsii,2.37831206558808e-05,value,Plastisphere,Seawater,92,92,4416.5,0.098,-4.72035780992048e-05,7.70990698950195e-05,Wilcoxon,two.sided,0.098,ns,ns
Azadinium.poporum,1.33307012234317e-05,value,Plastisphere,Seawater,92,92,4710.5,0.117,-3.05127902507415e-05,7.9980909871788e-06,Wilcoxon,two.sided,0.117,ns,ns
Chrysochromulina.leadbeateri,-4.56579423576422e-05,value,Plastisphere,Seawater,92,92,3576.5,0.015,-4.54456528495262e-05,1.37414707140921e-05,Wilcoxon,two.sided,0.015,*,depleted
Dinophysis.acuminata,-3.56315236285577e-05,value,Plastisphere,Seawater,92,92,3548,0.003,-5.16686449745267e-05,-8.6572084313103e-05,Wilcoxon,two.sided,0.003,**,depleted
Dinophysis.miles,-4.903789834171e-05,value,Plastisphere,Seawater,92,92,4115.5,0.622,-4.61202267020959e-05,3.25607590009674e-06,Wilcoxon,two.sided,0.622,ns,ns
Fibrocapsa.japonica,-2.94610372068418e-05,value,Plastisphere,Seawater,92,92,4218.5,0.969,-2.37012101625576e-05,4.59774806128798e-05,Wilcoxon,two.sided,0.969,ns,ns
Gonyaulax.spinifera,5.52138251163404e-05,value,Plastisphere,Seawater,92,92,4467,0.171,-4.22469772757498e-05,2.33054689496808e-05,Wilcoxon,two.sided,0.171,ns,ns
Gymnodinium.catenatum,-1.35500239556973e-05,value,Plastisphere,Seawater,92,92,3522,0.028,-6.18383994701261e-05,-2.47400623385109e-05,Wilcoxon,two.sided,0.028,*,depleted
Heterosigma.akashiwo,8.7270492968648e-05,value,Plastisphere,Seawater,92,92,4539.5,0.391,-0.0668198952631175,0.0668711781815199,Wilcoxon,two.sided,0.391,ns,ns
Karenia.mikimotoi,-1.62847998533072e-05,value,Plastisphere,Seawater,92,92,3765.5,0.169,-3.43554023133846e-05,6.01007997787268e-05,Wilcoxon,two.sided,0.169,ns,ns
Karlodinium.veneficum,-3.95352497923186e-05,value,Plastisphere,Seawater,92,92,4082,0.651,-1.89499521207963e-05,3.27699050791052e-05,Wilcoxon,two.sided,0.651,ns,ns
Lingulodinium.polyedra,-5.80902777904536e-05,value,Plastisphere,Seawater,92,92,3852,0.093,-4.84278153910596e-05,3.34191920112112e-06,Wilcoxon,two.sided,0.093,ns,ns
Margalefidinium.fulvescens,-3.34508397259258e-05,value,Plastisphere,Seawater,92,92,4001,0.054,-3.30863264623198e-06,1.02368077185024e-05,Wilcoxon,two.sided,0.054,ns,ns
