variable,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,p.adj.signif,level
Pseudo.nitzschia.cuspidata,3.64E-05,value,Plastisphere,Seawater,92,92,4993,0.016,7.36E-05,4.28E-05,Wilcoxon,two.sided,0.016,*,enriched
Chaetoceros.socialis,2.12E-05,value,Plastisphere,Seawater,92,92,4828.5,0.024,-3.86E-05,1.72E-05,Wilcoxon,two.sided,0.024,*,enriched
Cylindrotheca.closterium,0.174655795,value,Plastisphere,Seawater,92,92,6797.5,1.23E-12,0.123432703,0.262036953,Wilcoxon,two.sided,1.23E-12,****,enriched
Halamphora.coffeiformis,0.201380365,value,Plastisphere,Seawater,92,92,6921,9.74E-14,0.12647594,0.285770035,Wilcoxon,two.sided,9.74E-14,****,enriched
Nitzschia.longissima,0.139943348,value,Plastisphere,Seawater,92,92,5101,0.014,5.11E-05,0.139987682,Wilcoxon,two.sided,0.014,*,enriched
Skeletonema.marinoi,0.081704742,value,Plastisphere,Seawater,92,92,5096.5,0.017,0.013581831,0.163439206,Wilcoxon,two.sided,0.017,*,enriched
Thalassiosira.allenii,2.67E-05,value,Plastisphere,Seawater,92,92,5204,0.003,6.16E-05,0.170989101,Wilcoxon,two.sided,0.003,**,enriched
Chrysochromulina.leadbeateri,-4.57E-05,value,Plastisphere,Seawater,92,92,3576.5,0.015,-4.54E-05,1.37E-05,Wilcoxon,two.sided,0.015,*,depleted
Dinophysis.acuminata,-3.56E-05,value,Plastisphere,Seawater,92,92,3548,0.003,-5.17E-05,-8.66E-05,Wilcoxon,two.sided,0.003,**,depleted
Gymnodinium.catenatum,-1.36E-05,value,Plastisphere,Seawater,92,92,3522,0.028,-6.18E-05,-2.47E-05,Wilcoxon,two.sided,0.028,*,depleted
Prymnesium.polylepis,-0.258411896,value,Plastisphere,Seawater,92,92,3331,0.011,-0.258479092,-4.07E-05,Wilcoxon,two.sided,0.011,*,depleted
Pseudo.nitzschia.australis,-4.43E-05,value,Plastisphere,Seawater,92,92,3533,0.019,-4.87E-05,-4.95E-05,Wilcoxon,two.sided,0.019,*,depleted
Cyclotella.meneghiniana,-0.053977211,value,Plastisphere,Seawater,92,92,3363.5,0.016,-0.131634728,-0.010709431,Wilcoxon,two.sided,0.016,*,depleted
Heterocapsa.triquetra,-0.103047228,value,Plastisphere,Seawater,92,92,3257.5,0.007,-0.216267719,-0.030876926,Wilcoxon,two.sided,0.007,**,depleted
Plagioselmis.prolonga,-0.23959604,value,Plastisphere,Seawater,92,92,2532.5,2.51E-06,-0.38334786,-0.119784808,Wilcoxon,two.sided,2.51E-06,****,depleted
Protodinium.simplex,-0.027307199,value,Plastisphere,Seawater,92,92,3454,0.031,-0.082013334,-4.12E-05,Wilcoxon,two.sided,0.031,*,depleted
Pseudocochlodinium.profundisulcus,-2.46E-05,value,Plastisphere,Seawater,92,92,3700,0.024,-4.24E-05,6.47E-05,Wilcoxon,two.sided,0.024,*,depleted
Teleaulax.acuta,-0.080368004,value,Plastisphere,Seawater,92,92,3244.5,0.006,-0.15191727,-0.026768423,Wilcoxon,two.sided,0.006,**,depleted
