sample,Akashiwo.sanguinea,Alexandrium.andersonii,Alexandrium.hiranoi,Alexandrium.ostenfeldii,Alexandrium.tamarense,Amphidinium.klebsii,Azadinium.poporum,Chrysochromulina.leadbeateri,Dinophysis.acuminata,Dinophysis.miles,Fibrocapsa.japonica,Gonyaulax.spinifera,Gymnodinium.catenatum,Heterosigma.akashiwo,Karenia.mikimotoi,Karlodinium.veneficum,Lingulodinium.polyedra,Margalefidinium.fulvescens,Margalefidinium.polykrikoides,Polykrikos.hartmannii,Prorocentrum.cordatum,Prorocentrum.rhathymum,Protoceratium.reticulatum,Protoperidinium.crassipes,Prymnesium.parvum,Prymnesium.polylepis,Pseudo.nitzschia.australis,Pseudo.nitzschia.cuspidata,Pseudo.nitzschia.delicatissima,Pseudochattonella.verruculosa,Alexandrium.cohorticula,Asterionellopsis.glacialis,Aureococcus.anophagefferens,Chaetoceros.curvisetus,Chaetoceros.debilis,Chaetoceros.diadema,Chaetoceros.lorenzianus,Chaetoceros.pseudocurvisetus,Chaetoceros.rostratus,Chaetoceros.simplex,Chaetoceros.socialis,Chaetoceros.tenuissimus,Chaetoceros.throndsenii,Coscinodiscus.radiatus,Cyclotella.meneghiniana,Cylindrotheca.closterium,Dictyocha.fibula,Dunaliella.salina,Eucampia.zodiacus,Gonyaulax.polygramma,Gonyaulax.verior,Guinardia.flaccida,Halamphora.coffeiformis,Heterocapsa.triquetra,Lauderia.annulata,Lepidodinium.chlorophorum,Leptocylindrus.danicus,Levanderina.fissa,Nitzschia.longissima,Noctiluca.scintillans,Plagioselmis.prolonga,Prorocentrum.triestinum,Protodinium.simplex,Pseudocochlodinium.profundisulcus,Pyrophacus.steinii,Skeletonema.marinoi,Teleaulax.acuta,Tenuicylindrus.belgicus,Thalassiosira.allenii,Thalassiosira.curviseriata,Thalassiosira.mala,Thalassiosira.pseudonana,Thalassiosira.weissflogii,Tripos.fusus
EnvHKSumMc1,-0.34487426,-0.280077147,-0.313097654,-0.21842878,-0.188141178,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,-0.145828499,-0.283548616,-0.460044146,-0.488227171,-0.251617635,0.072319121,-0.259032549,-0.186706385,-0.153540608,-0.26183459,-0.349478171,-0.062055817,-0.18931505,2.15660233,-0.628945507,-0.290732029,-0.406504961,0.503080434,-0.296433268,-0.343483877,-0.1535903,0.018774656,-0.442789047,-0.269957231,-0.354664883,-0.099896437,-0.269748049,3.253876652,-0.258212072,-0.17340946,-0.268343839,-0.390964901,-0.240655382,-0.19028468,-0.163249702,-0.220749938,-0.269977713,-0.177322219,-0.339443901,-0.259120905,-0.219832219,-0.39600149,-0.387379959,-0.441177354,-0.242098282,-0.585177941,-0.286311085,0.129237053,0.017493078,8.255499713,-0.409052565,-0.154119692,-0.282110497,-0.282311608,-0.219401136,0.049896429,-0.363537169,-0.40408093,0.105056034,-0.536446415,4.333700103,-0.283899721,0.099502725,-0.172871954
EnvHKSumMR1,-0.382334038,-0.280077147,0.566443846,-0.251237674,-0.181528384,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,-0.364868856,-0.283548616,-0.460044146,-0.488227171,-0.5060003,-0.493924212,-0.259032549,-0.186706385,-0.153540608,-0.26183459,-0.686148242,2.715361277,-0.18931505,-0.308086047,-0.628945507,-0.80758897,-0.406504961,0.503080434,-0.296433268,-0.343483877,-0.1535903,3.818765031,-0.442789047,-0.269957231,-0.354664883,-0.503873237,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.433087642,-0.240655382,-0.19028468,-0.202083503,-0.362328511,-0.177212261,0.144998399,-0.339443901,-0.259120905,-0.219832219,-0.315901518,-0.410801986,-0.50297129,-0.242098282,-0.585177941,-0.203996648,0.037067992,-0.262396173,4.18016638,-0.456977221,7.323526664,-0.336756598,-0.282311608,-0.219401136,-0.385994035,-0.417142757,-0.40408093,-0.408138045,-0.536446415,1.577232773,-0.283899721,-0.131800013,-0.306802226
EnvHKSumMR2,-0.353198655,-0.280077147,-0.313097654,-0.234833227,-0.201366767,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,-0.364868856,-0.283548616,-0.460044146,-0.488227171,-0.5060003,-0.493924212,-0.259032549,-0.186706385,-0.153540608,-0.34832932,-0.686148242,-0.062055817,-0.18931505,-0.308086047,-0.455443298,-0.5491605,-0.406504961,0.304439233,-0.261784735,-0.343483877,-0.1535903,-0.326679014,-0.442789047,-0.269957231,-0.354664883,-0.352381937,0.616566969,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.402305639,-0.240655382,-0.218948111,-0.184824036,-0.410525471,-0.269977713,-0.158136468,-0.339443901,-0.259120905,-0.219832219,-0.449401471,-0.415486391,-0.513270279,-0.242098282,-0.473455252,-0.162839429,-0.331608253,-0.542285425,-0.462498739,-0.409052565,8.703581923,-0.276645887,-0.282311608,-0.219401136,-0.358750881,-0.354602905,-0.40408093,-0.408138045,-0.536446415,2.968157356,-0.283899721,-0.114007495,-0.23983709
EnvHKSumMR3,-0.328225469,-0.280077147,-0.093212279,-0.234833227,-0.17491559,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,-0.364868856,-0.283548616,0.00505543,-0.354545922,0.002765029,-0.493924212,-0.259032549,-0.186706385,-0.153540608,-0.26183459,-0.601980724,-0.062055817,-0.18931505,2.15660233,-0.628945507,-0.80758897,0.131602326,0.105798031,-0.268714442,-0.343483877,-0.1535903,0.018774656,-0.442789047,-0.269957231,-0.354664883,-0.301884837,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.390964901,-0.240655382,-0.19028468,-0.018701665,-0.410525471,-0.223594987,-0.054533412,-0.339443901,-0.259120905,-0.219832219,-0.449401471,-0.424855202,-0.183702623,-0.242098282,-0.529316597,-0.080524993,-0.285523722,-0.402340799,1.381329567,-0.480939549,4.285292763,-0.254787447,-0.282311608,0.266982106,-0.399615612,-0.452879815,-0.40408093,-0.408138045,-0.536446415,4.917482319,-0.283899721,-0.06062994,-0.306802226
EnvHKSumMR4,-0.36152305,-0.280077147,-0.313097654,-0.21842878,-0.207979561,-0.174143286,-0.436818508,-0.418610187,-0.350317999,0.129284023,-0.364868856,-0.283548616,-0.460044146,-0.287705297,-0.251617635,-0.493924212,0.295176625,-0.186706385,-0.153540608,-0.34832932,-0.728232,-0.679259615,-0.18931505,-0.308086047,-0.628945507,-0.80758897,-0.406504961,2.688133649,-0.192487668,-0.307471892,-0.1535903,0.364228326,-0.442789047,-0.269957231,-0.354664883,-0.301884837,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.248395622,-0.240655382,-0.19028468,2.168935803,-0.368353131,-0.24678635,-0.20801942,-0.413931293,-0.259120905,-0.219832219,-0.342601509,-0.429539607,-0.317589483,-0.242098282,-0.585177941,-0.121682211,-0.285523722,0.017493078,-0.093733078,-0.480939549,1.683606955,-0.298504327,-0.282311608,-0.219401136,-0.345129304,-0.443945551,-0.40408093,0.276120727,-0.536446415,4.742347654,-0.283899721,0.028332651,-0.306802226
EnvHKSumPort1,-0.228332728,-0.280077147,-0.093212279,-0.284046569,-0.214592355,-0.174143286,-0.436818508,-0.418610187,-0.350317999,0.129284023,-0.03630832,-0.283548616,-0.460044146,-0.020342799,-0.251617635,0.072319121,-0.259032549,-0.186706385,-0.153540608,-0.17533986,-0.39156193,-0.679259615,-0.18931505,-0.308086047,-0.628945507,-0.290732029,-0.406504961,-0.291484372,-0.206347081,-0.343483877,-0.1535903,-0.326679014,-0.442789047,-0.269957231,-0.354664883,-0.099896437,-0.269748049,3.253876652,-0.258212072,-0.17340946,-0.268343839,-0.274317309,-0.240655382,-0.132957818,1.195933339,-0.31413155,-0.154020899,0.179532751,0.256455231,-0.259120905,-0.219832219,-0.342601509,-0.401433175,-0.307290494,-0.242098282,-0.417593908,-0.080524993,0.774420481,-0.402340799,-0.065366488,-0.433014893,-0.168201888,0.242492074,-0.282311608,-0.219401136,-0.004589879,-0.166983348,4.034778239,0.276120727,0.403612064,0.569573905,-0.283899721,9.298234697,-0.038941682
EnvHKSumWWTP2,-0.17422416,0.360099189,0.346558471,-0.037979861,-0.14185162,-0.174143286,-0.436818508,0.844082837,-0.350317999,-0.254397594,0.073211858,-0.283548616,0.00505543,0.046497826,-0.251617635,-0.493924212,-0.259032549,-0.186706385,-0.153540608,0.43012325,-0.054891859,1.789555579,-0.18931505,2.15660233,0.585569955,-0.80758897,-0.406504961,0.105798031,-0.344941215,-0.307471892,-0.1535903,0.018774656,-0.442789047,-0.269957231,-0.354664883,-0.402879037,-0.269748049,-0.187004405,-0.258212072,-0.17340946,0.319456951,-0.284037942,-0.240655382,-0.204616396,-0.182666603,-0.055072886,-0.223594987,0.095115446,-0.153225422,2.720769502,-0.219832219,-0.315901518,-0.424855202,-0.204300602,-0.242098282,-0.417593908,-0.039367774,6.028056967,0.29738233,1.362418507,-0.433014893,0.116962592,-0.019809212,11.16327087,-0.219401136,-0.290642996,-0.417142757,-0.40408093,9.513614146,-0.066417175,1.341181703,-0.283899721,9.671877582,-0.105906818
EnvHKWinBeach1,-0.274116901,-0.280077147,-0.313097654,-0.284046569,-0.214592355,-0.174143286,-0.07313251,-0.418610187,-0.350317999,-0.254397594,0.511292573,-0.283548616,0.00505543,-0.354545922,0.257147693,-0.493924212,-0.259032549,-0.186706385,-0.153540608,-0.17533986,-0.559896965,0.863749881,-0.18931505,-0.308086047,-0.281941089,-0.032303559,3.360246046,-0.291484372,-0.240995615,-0.343483877,-0.1535903,-0.326679014,-0.442789047,-0.269957231,-0.354664883,-0.503873237,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.306719418,-0.240655382,-0.147289533,-0.359576142,-0.253885349,-0.24678635,-0.292436725,-0.041494335,-0.259120905,-0.219832219,0.485098197,-0.392064364,-0.22489858,-0.242098282,-0.110356514,0.084103881,-0.331608253,0.29738233,-0.500320858,-0.097542302,-0.069626512,1.122294302,1.478547235,-0.219401136,-0.358750881,-0.309931582,-0.40408093,-0.237073352,-0.536446415,-0.04974288,-0.283899721,-0.078422458,-0.23983709
EnvHKWinBeach2,-0.170061963,1.320363691,-0.313097654,-0.284046569,-0.14185162,-0.174143286,-0.436818508,-0.418610187,-0.350317999,0.129284023,1.058893465,-0.283548616,0.00505543,-0.087183423,0.002765029,-0.210802545,-0.259032549,-0.186706385,-0.044461566,-0.08884513,-0.517813206,0.863749881,-0.18931505,2.15660233,-0.455443298,0.742981853,9.2794262,-0.291484372,-0.261784735,-0.271459908,-0.1535903,-0.326679014,0.284650101,-0.269957231,0.492846006,-0.352381937,-0.269748049,-0.187004405,2.536553888,-0.17340946,0.319456951,-0.329400894,-0.240655382,-0.175952965,-0.372520742,-0.277983829,-0.08444681,-0.300111026,-0.339443901,-0.259120905,-0.219832219,0.591898159,-0.392064364,-0.173403634,-0.242098282,0.280672896,0.289889973,-0.193354661,0.017493078,-0.42467662,-0.145466958,-0.097790905,1.078577421,-0.282311608,-0.219401136,-0.304264573,-0.336734375,0.705633862,-0.408138045,-0.536446415,0.102548133,-0.283899721,0.028332651,-0.23983709
EnvHKWinBeach3,-0.003574061,0.040011021,-0.093212279,-0.120002097,-0.115400444,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,-0.03630832,2.785448168,-0.460044146,0.046497826,1.27467835,-0.210802545,0.295176625,-0.186706385,-0.153540608,0.34362852,-0.517813206,0.246546083,-0.18931505,-0.308086047,0.238565537,0.742981853,2.284031473,0.105798031,0.06391148,-0.343483877,-0.1535903,-0.326679014,0.284650101,-0.269957231,0.492846006,-0.402879037,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.096105711,-0.240655382,-0.132957818,-0.061850333,-0.280996139,0.101084092,-0.223368021,0.070236752,2.720769502,-0.219832219,1.045797998,-0.401433175,-0.029217785,1.14996684,0.224811551,0.207575536,-0.009016539,-0.122451548,-0.226110495,-0.193391614,0.021907765,0.351784276,0.598117813,-0.219401136,-0.18167038,-0.068706437,1.815348655,-0.237073352,-0.536446415,-0.075124715,-0.283899721,-0.06062994,-0.306802226
EnvHKWinEs1,1.72373792,-0.280077147,-0.313097654,-0.202024333,-0.181528384,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,9.491947214,-0.283548616,2.330553309,1.049107196,-0.5060003,0.355440788,4.72885002,7.447510243,-0.044461566,5.273828128,-0.728232,1.789555579,4.164931092,-0.308086047,-0.628945507,1.259838794,-0.406504961,0.900362837,0.06391148,-0.343483877,-0.1535903,2.091496679,-0.442789047,-0.269957231,-0.354664883,-0.352381937,-0.269748049,-0.187004405,-0.258212072,-0.17340946,0.319456951,-0.366663319,0.989361013,-0.204616396,-0.094211834,-0.401488541,0.147466818,-0.334645377,7.779681783,2.720769502,-0.219832219,0.191398302,-0.420170796,4.141872858,-0.242098282,0.895147683,9.344478031,4.922028233,-0.542285425,0.946375197,-0.289240925,1.289305452,3.548581192,1.478547235,-0.219401136,-0.331507727,-0.292063052,2.925063447,-0.408138045,-0.536446415,-0.240106646,-0.283899721,-0.149592532,-0.23983709
