SampleID	Temperature	pH	Salinity	NO3	PO43	DOC
EnvHKSumMc1	27.8	8.3	32	2	0.44	3.274
EnvHKSumMR1	30.1	8.2	32	2.4	0.21	7.297
EnvHKSumMR2	30.2	8.11	33	2.9	0.21	5.681
EnvHKSumMR3	30.2	8.16	29	2	0.24	19.6
EnvHKSumMR4	30.3	8.16	29	1.1	0.28	13.48
EnvHKSumPort1	31.4	8.01	23	1.7	0.15	12.97
EnvHKSumWWTP2	30.8	7.44	27	2.6	0.22	3.829
EnvHKWinBeach1	18.967	7.81	35.63	3.3	0.19	5.138
EnvHKWinBeach2	18.966	7.8	35.66	2.3	0.37	5.128
EnvHKWinBeach3	18.985	7.81	35.68	1.5	0.3	5.294
EnvHKWinEs1	20.071	7.95	34.95	1	0.36	7.056
EnvHKWinEs2	20.047	7.91	34.98	1.5	0.28	7.015
EnvHKWinEs4	20.02	7.89	34.89	0.5	0.05	3.996
EnvHKWinEs5	19.92	7.9	35.27	1.2	0.04	4.555
EnvHKWinMc1	22.134	7.59	29.54	1.6	1.71	7.467
EnvHKWinMc10	16.164	7.9	34.54	1.8	0.18	2.81
EnvHKWinMc11	17.81	7.99	35.44	1.7	0.53	2.647
EnvHKWinMc12	17.93	7.97	35.48	1.8	0.57	2.653
EnvHKWinMc13	17.998	8.01	35.47	1	0.35	2.656
EnvHKWinMc15	17.982	8	35.43	1	0.33	2.727
EnvHKWinMc2	22.278	7.6	29.43	1.3	1.59	9.211
EnvHKWinMc3	22.345	7.56	29.44	1.3	1.54	7.804
EnvHKWinMc4	21.869	7.41	29.41	1.8	1.21	8.466
EnvHKWinMc5	22.026	7.53	29.69	1.4	1.15	17.86
EnvHKWinMc6	16.185	7.95	34.33	1.3	0.27	4.122
EnvHKWinMc7	16.158	7.91	34.54	1.8	0.15	3.753
EnvHKWinMc8	16.189	7.86	34.54	1.6	0.27	3.813
EnvHKWinMc9	16.099	7.88	34.54	1.4	0.08	2.73
EnvHKWinMR1	15.652	8.01	34.21	1.7	0.65	2.809
EnvHKWinPort1	17.456	7.89	26.19	1.1	1.65	2.792
EnvHKWinPort2	18.402	7.99	34.07	1	0.46	2.751
EnvHKWinPort3	18.689	8.09	33.35	1.2	0.41	3.046
EnvHKWinPort4	18.569	8.02	34.42	1	0.69	2.396
EnvHKWinPort5	18.16	7.99	35.34	1.2	0.31	4.131
EnvHKWinWWTP1	17.881	7.84	35.03	0.9	0.47	3.843
EnvHKWinWWTP2	17.894	7.84	34.58	0.8	0.58	3.611
EnvHKWinWWTP3	18.35	7.83	34.08	1.6	0.36	4.325
EnvHKWinWWTP4	18.113	7.8	33.95	1.5	0.52	4.191
EnvQDSumBeach1	27.5	8.3	24.5	0.171	0.189	1.3821
EnvQDSumBeach2	27.7	8.2	24	0.035	0.318	1.066
EnvQDSumBeach4	27.8	8.2	24.4	0.039	0.19	2.1802
EnvQDSumBeach5	28	8.3	23.9	0.085	0.239	1.1783
EnvQDSumEs1	30.8	8.6	19.6	0.498	0.134	3.0857
EnvQDSumEs2	30.8	8.7	18.2	0.619	0.142	3.1053
EnvQDSumEs3	30.3	8.9	20.6	0.34	0.222	1.564
EnvQDSumMc1	30.7	8.2	23.2	0.099	0.211	1.8028
EnvQDSumMc2	31.3	8.2	23.1	0.104	0.308	1.7373
EnvQDSumMc4	31.1	8.2	23.6	0.081	0.293	1.5619
EnvQDSumMc5	31.6	8.2	23.4	0.086	0.2	1.685
EnvQDSumMR1	28.7	8.3	24.6	0.009	0.245	2.2215
EnvQDSumMR2	28.2	8.3	24.4	0.009	0.267	1.3169
EnvQDSumMR3	28	8.3	24.7	0.009	0.332	0.6398
EnvQDSumPort1	27.8	8.1	23.5	0.02	0.209	0.6984
EnvQDSumPort2	29.5	8.1	24.1	0.075	0.218	1.5084
EnvQDSumPort3	28.2	8.2	24.3	0.201	0.151	1.6302
EnvQDSumPort4	28.9	8.2	24.2	0.069	0.272	0.5761
EnvQDSumPort5	27.8	8.3	24.3	0.005	0.32	0.08
EnvQDSumWWTP1	30.8	7.9	24.3	0.272	0.166	2.1985
EnvQDSumWWTP2	28.5	8.2	24.3	0.183	0.223	0.9544
EnvQDSumWWTP3	28.4	8.2	24.6	0.143	0.262	1.0662
EnvQDSumWWTP4	28.1	8.1	24.8	0.076	0.21	1.0851
EnvQDSumWWTP5	28	8.2	24.8	0.051	0.273	1.0615
EnvQDWinBeach1	6.2	8.5	27.8	0.008	0.108	6.11
EnvQDWinBeach2	7	8.49	27.7	0.008	0.128	6.155
EnvQDWinBeach3	6.6	8.52	27.7	0.228	0.12	5.297
EnvQDWinBeach4	7	8.51	27.7	0.016	0.082	5.67
EnvQDWinBeach5	6.1	8.5	27.8	0.011	0.003	5.807
EnvQDWinEs1	7.2	8.08	11.2	2.701	0.098	19.015
EnvQDWinEs2	7.5	8.1	8.44	5.555	0.166	19.468
EnvQDWinEs3	7.2	8.37	13.7	5.08	0.116	20.168
EnvQDWinEs4	7.4	8.42	8.72	8.502	0.14	19.153
EnvQDWinEs5	7.6	8.38	8.66	3.181	0.099	18.007
EnvQDWinMc1	4.5	8.49	27.3	0.045	0.152	6.836
EnvQDWinMc2	4.6	8.5	28.1	0.025	0.12	6.532
EnvQDWinMc3	5.1	8.52	27.8	0.042	0.117	6.154
EnvQDWinMc4	5	8.5	27.5	0.027	0.098	4.525
EnvQDWinMc5	6.8	8.52	26.9	0.075	0.106	6.406
EnvQDWinMR1	6.2	8.5	27	0.017	0.001	4.551
EnvQDWinMR2	5.5	8.52	26.8	0.007	0.002	5.511
EnvQDWinMR3	6.3	8.49	27.6	0.001	0.001	5.877
EnvQDWinMR4	5.6	8.53	27.2	0.008	0.003	5.215
EnvQDWinMR5	6.1	8.49	26.9	0.01	0.001	5.876
EnvQDWinPort1	6.1	8.46	26.9	0.008	0.001	7.147
EnvQDWinPort2	5.9	8.45	27.3	0.018	0.001	7.658
EnvQDWinPort3	5.7	8.44	27.6	0.036	0.001	11.553
EnvQDWinPort4	6.3	8.49	27.7	0.066	0.001	3.473
EnvQDWinPort5	5.7	8.46	27.2	0.121	0.001	3.855
EnvQDWinWWTP1	5.7	8.42	27	0.251	0.079	8.437
EnvQDWinWWTP2	6.3	8.44	26.7	0.285	0.093	7.571
EnvQDWinWWTP3	6	8.44	26.7	0.357	0.074	8.144
EnvQDWinWWTP4	6.7	8.44	26.7	0.327	0.081	7.348
EnvQDWinWWTP5	6.2	8.42	26.7	0.245	0.117	7.878
