SampleID,Harm_toxic,Temp,pH,Salinity,DO,DOC,NO3,PO4,EC,Carrier,Harm,Toxic
EnvHKSumMc1,3352,27.8,8.3,32,9.58,3.274,2,0.44,49.99,Seawater,3302,50
EnvHKSumMR1,3867,30.1,8.2,32,7.48,7.297,2.4,0.21,50.5,Seawater,3830,37
EnvHKSumMR2,4243,30.2,8.11,33,7.43,5.681,2.9,0.21,50.5,Seawater,4209,34
EnvHKSumMR3,4106,30.2,8.16,29,7.39,19.6,2,0.24,50.5,Seawater,4055,51
EnvHKSumMR4,4216,30.3,8.16,29,7.45,13.48,1.1,0.28,50.5,Seawater,4160,56
EnvHKSumPort1,2482,31.4,8.01,23,7.15,12.97,1.7,0.15,43.96,Seawater,2396,86
EnvHKSumWWTP2,2581,30.8,7.44,27,5.7,3.829,2.6,0.22,48.49,Seawater,2439,142
EnvHKWinBeach1,982,18.967,7.81,35.63,6.95,5.138,3.3,0.19,47.6192,Seawater,901,81
EnvHKWinBeach2,1106,18.966,7.8,35.66,7.26,5.128,2.3,0.37,47.6565,Seawater,959,147
EnvHKWinBeach3,1436,18.985,7.81,35.68,7.31,5.294,1.5,0.3,47.6948,Seawater,1202,234
EnvHKWinEs1,3640,20.071,7.95,34.95,7.19,7.056,1,0.36,47.9285,Seawater,2841,799
EnvHKWinEs2,3790,20.047,7.91,34.98,7.06,7.015,1.5,0.28,47.9424,Seawater,3182,608
EnvHKWinEs4,3603,20.02,7.89,34.89,7.02,3.996,0.5,0.05,47.9062,Seawater,3178,425
EnvHKWinEs5,3755,19.92,7.9,35.27,6.65,4.555,1.2,0.04,48.1593,Seawater,3357,398
EnvHKWinMc1,1513,22.134,7.59,29.54,2.96,7.467,1.6,1.71,43.045,Seawater,1432,81
EnvHKWinMc10,2582,16.164,7.9,34.54,8.11,2.81,1.8,0.18,43.5446,Seawater,928,1654
EnvHKWinMc11,2306,17.81,7.99,35.44,7.86,2.647,1.7,0.53,46.2154,Seawater,1871,435
EnvHKWinMc12,2272,17.93,7.97,35.48,7.84,2.653,1.8,0.57,46.3852,Seawater,1783,489
EnvHKWinMc13,2065,17.998,8.01,35.47,7.89,2.656,1,0.35,46.4446,Seawater,1749,316
EnvHKWinMc15,2034,17.982,8,35.43,7.78,2.727,1,0.33,46.3826,Seawater,1805,229
