SampleID,Treat,pH,Salinity,DOC,Temp,NO3,PO43
EnvHKSumMc1,Bulkseawater,8.3,32,3.274,27.8,2,0.44
EnvHKSumMR1,Bulkseawater,8.2,32,7.297,30.1,2.4,0.21
EnvHKSumMR2,Bulkseawater,8.11,33,5.681,30.2,2.9,0.21
EnvHKSumMR3,Bulkseawater,8.16,29,19.6,30.2,2,0.24
EnvHKSumMR4,Bulkseawater,8.16,29,13.48,30.3,1.1,0.28
EnvHKSumPort1,Bulkseawater,8.01,23,12.97,31.4,1.7,0.15
EnvHKSumWWTP2,Bulkseawater,7.44,27,3.829,30.8,2.6,0.22
EnvHKWinBeach1,Bulkseawater,7.81,35.63,5.138,18.967,3.3,0.19
EnvHKWinBeach2,Bulkseawater,7.8,35.66,5.128,18.966,2.3,0.37
EnvHKWinBeach3,Bulkseawater,7.81,35.68,5.294,18.985,1.5,0.3
EnvHKWinEs1,Bulkseawater,7.95,34.95,7.056,20.071,1,0.36
EnvHKWinEs2,Bulkseawater,7.91,34.98,7.015,20.047,1.5,0.28
EnvHKWinEs4,Bulkseawater,7.89,34.89,3.996,20.02,0.5,0.05
EnvHKWinEs5,Bulkseawater,7.9,35.27,4.555,19.92,1.2,0.04
EnvHKWinMc1,Bulkseawater,7.59,29.54,7.467,22.134,1.6,1.71
EnvHKWinMc10,Bulkseawater,7.9,34.54,2.81,16.164,1.8,0.18
EnvHKWinMc11,Bulkseawater,7.99,35.44,2.647,17.81,1.7,0.53
EnvHKWinMc12,Bulkseawater,7.97,35.48,2.653,17.93,1.8,0.57
EnvHKWinMc13,Bulkseawater,8.01,35.47,2.656,17.998,1,0.35
EnvHKWinMc15,Bulkseawater,8,35.43,2.727,17.982,1,0.33
EnvHKWinMc2,Bulkseawater,7.6,29.43,9.211,22.278,1.3,1.59
EnvHKWinMc3,Bulkseawater,7.56,29.44,7.804,22.345,1.3,1.54
