sample,Akashiwo sanguinea,Alexandrium andersonii,Alexandrium hiranoi,Alexandrium ostenfeldii,Alexandrium tamarense,Amphidinium klebsii,Azadinium poporum,Chrysochromulina leadbeateri,Dinophysis acuminata,Dinophysis miles,Fibrocapsa japonica,Gonyaulax spinifera,Gymnodinium catenatum,Heterosigma akashiwo,Karenia mikimotoi,Karlodinium veneficum,Lingulodinium polyedra,Margalefidinium fulvescens,Margalefidinium polykrikoides,Polykrikos hartmannii,Prorocentrum cordatum,Prorocentrum rhathymum,Protoceratium reticulatum,Protoperidinium crassipes,Prymnesium parvum,Prymnesium polylepis,Pseudo-nitzschia australis,Pseudo-nitzschia cuspidata,Pseudo-nitzschia delicatissima,Pseudochattonella verruculosa,Alexandrium cohorticula,Asterionellopsis glacialis,Aureococcus anophagefferens,Chaetoceros curvisetus,Chaetoceros debilis,Chaetoceros diadema,Chaetoceros lorenzianus,Chaetoceros pseudocurvisetus,Chaetoceros rostratus,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros tenuissimus,Chaetoceros throndsenii,Coscinodiscus radiatus,Cyclotella meneghiniana,Cylindrotheca closterium,Dictyocha fibula,Dunaliella salina,Eucampia zodiacus,Gonyaulax polygramma,Gonyaulax verior,Guinardia flaccida,Halamphora coffeiformis,Heterocapsa triquetra,Lauderia annulata,Lepidodinium chlorophorum,Leptocylindrus danicus,Levanderina fissa,Nitzschia longissima,Noctiluca scintillans,Plagioselmis prolonga,Prorocentrum triestinum,Protodinium simplex,Pseudocochlodinium profundisulcus,Pyrophacus steinii,Skeletonema marinoi,Teleaulax acuta,Tenuicylindrus belgicus,Thalassiosira allenii,Thalassiosira curviseriata,Thalassiosira mala,Thalassiosira pseudonana,Thalassiosira weissflogii,Tripos fusus
EnvHKSumMc1,10,0,0,4,4,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,9,2,0,1,0,2,0,4,8,0,0,1,0,0,0,8,0,1,0,0,0,46,0,2,158,67,0,46,4,0,0,2,10,14,0,0,0,11,4,931,7,80,11,0,0,37,11,0,3,0,1832,0,14,2
EnvHKSumMR1,1,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0,4,8,0,0,12,0,0,0,0,0,0,0,0,0,20,0,2,140,20,4,130,4,0,0,5,5,8,0,0,2,9,2,500,5,2204,1,0,0,5,5,0,0,0,746,0,1,0
EnvHKSumMR2,8,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,3,13,0,0,0,0,0,0,3,1,0,0,0,0,39,0,0,148,4,0,51,4,0,0,0,4,7,0,4,3,1,0,9,7,2596,12,0,0,7,12,0,0,0,1294,0,2,1
EnvHKSumMR3,14,0,1,3,6,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,3,2,0,1,0,0,1,2,12,0,0,1,0,0,0,4,0,0,0,0,0,46,0,2,225,4,2,78,4,0,0,0,2,39,0,2,5,2,1,204,4,1341,16,0,1,4,1,0,0,0,2062,0,5,0
EnvHKSumMR4,6,0,0,4,1,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,15,23,1,0,2,0,0,0,4,0,0,0,0,0,134,0,2,1239,18,1,38,2,0,0,4,1,26,0,0,4,2,4,48,4,602,8,0,0,8,2,0,4,0,1993,0,10,0
EnvHKSumPort1,38,0,1,0,0,0,0,0,0,1,3,0,0,7,1,2,0,0,0,2,8,0,0,0,0,2,0,0,21,0,0,0,0,0,0,8,0,1,0,0,0,118,0,6,788,36,5,139,20,0,0,4,7,27,0,6,5,25,1,51,6,76,107,0,0,33,33,4,4,2,349,0,531,4
EnvHKSumWWTP2,51,2,3,15,11,0,0,1,0,0,4,0,1,8,1,0,0,0,0,9,16,8,0,1,7,0,0,2,1,1,0,1,0,0,0,2,0,0,0,0,1,112,0,1,149,122,2,117,9,1,0,5,2,37,0,6,6,139,6,202,6,157,59,13,0,12,5,0,58,1,653,0,552,3
EnvHKWinBeach1,27,0,0,0,0,0,1,0,0,0,8,0,1,2,3,0,0,0,0,2,4,5,0,0,2,3,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,98,0,5,67,56,1,16,12,0,0,35,9,35,0,17,9,1,6,5,20,104,268,2,0,7,17,0,1,0,105,0,4,1
EnvHKWinBeach2,52,5,0,0,11,0,0,0,0,1,13,0,1,6,2,1,0,0,1,3,5,5,0,1,1,6,18,0,13,2,0,0,1,0,1,3,0,0,1,0,1,84,0,3,61,48,8,14,4,0,0,39,9,40,0,31,14,4,4,13,18,96,260,0,0,11,14,1,0,0,165,0,10,1
EnvHKWinBeach3,92,1,1,10,15,0,0,0,0,0,3,1,0,8,7,1,1,0,0,8,5,3,0,0,5,6,5,2,60,0,0,0,1,0,1,2,0,0,0,0,0,228,0,6,205,47,16,34,15,1,0,56,7,54,2,29,12,8,3,34,16,130,127,1,0,20,44,2,1,0,95,0,5,0
