SampleID,group
EnvHKSumMc1,Seawater
EnvHKSumMR1,Seawater
EnvHKSumMR2,Seawater
EnvHKSumMR3,Seawater
EnvHKSumMR4,Seawater
EnvHKSumPort1,Seawater
EnvHKSumWWTP2,Seawater
EnvHKWinBeach1,Seawater
EnvHKWinBeach2,Seawater
EnvHKWinBeach3,Seawater
EnvHKWinEs1,Seawater
EnvHKWinEs2,Seawater
EnvHKWinEs4,Seawater
EnvHKWinEs5,Seawater
EnvHKWinMc1,Seawater
EnvHKWinMc10,Seawater
EnvHKWinMc11,Seawater
EnvHKWinMc12,Seawater
EnvHKWinMc13,Seawater
EnvHKWinMc15,Seawater
EnvHKWinMc2,Seawater
EnvHKWinMc3,Seawater
EnvHKWinMc4,Seawater
EnvHKWinMc5,Seawater
EnvHKWinMc6,Seawater
EnvHKWinMc7,Seawater
EnvHKWinMc8,Seawater
EnvHKWinMc9,Seawater
EnvHKWinMR1,Seawater
EnvHKWinPort1,Seawater
EnvHKWinPort2,Seawater
EnvHKWinPort3,Seawater
EnvHKWinPort4,Seawater
EnvHKWinPort5,Seawater
EnvHKWinWWTP1,Seawater
EnvHKWinWWTP2,Seawater
EnvHKWinWWTP3,Seawater
EnvHKWinWWTP4,Seawater
EnvQDSumBeach1,Seawater
EnvQDSumBeach2,Seawater
EnvQDSumBeach4,Seawater
EnvQDSumBeach5,Seawater
EnvQDSumEs1,Seawater
EnvQDSumEs2,Seawater
EnvQDSumEs3,Seawater
EnvQDSumMc1,Seawater
EnvQDSumMc2,Seawater
EnvQDSumMc4,Seawater
EnvQDSumMc5,Seawater
EnvQDSumMR1,Seawater
EnvQDSumMR2,Seawater
EnvQDSumMR3,Seawater
EnvQDSumPort1,Seawater
EnvQDSumPort2,Seawater
EnvQDSumPort3,Seawater
EnvQDSumPort4,Seawater
EnvQDSumPort5,Seawater
EnvQDSumWWTP1,Seawater
EnvQDSumWWTP2,Seawater
EnvQDSumWWTP3,Seawater
EnvQDSumWWTP4,Seawater
EnvQDSumWWTP5,Seawater
EnvQDWinBeach1,Seawater
EnvQDWinBeach2,Seawater
EnvQDWinBeach3,Seawater
EnvQDWinBeach4,Seawater
EnvQDWinBeach5,Seawater
EnvQDWinEs1,Seawater
EnvQDWinEs2,Seawater
EnvQDWinEs3,Seawater
EnvQDWinEs4,Seawater
EnvQDWinEs5,Seawater
EnvQDWinMc1,Seawater
EnvQDWinMc2,Seawater
EnvQDWinMc3,Seawater
EnvQDWinMc4,Seawater
EnvQDWinMc5,Seawater
EnvQDWinMR1,Seawater
EnvQDWinMR2,Seawater
EnvQDWinMR3,Seawater
EnvQDWinMR4,Seawater
EnvQDWinMR5,Seawater
EnvQDWinPort1,Seawater
EnvQDWinPort2,Seawater
EnvQDWinPort3,Seawater
EnvQDWinPort4,Seawater
EnvQDWinPort5,Seawater
EnvQDWinWWTP1,Seawater
EnvQDWinWWTP2,Seawater
EnvQDWinWWTP3,Seawater
EnvQDWinWWTP4,Seawater
EnvQDWinWWTP5,Seawater
PlaHKSumMc1,Plastisphere
PlaHKSumMR1,Plastisphere
PlaHKSumMR2,Plastisphere
PlaHKSumMR3,Plastisphere
PlaHKSumMR4,Plastisphere
PlaHKSumPort1,Plastisphere
PlaHKSumWWTP2,Plastisphere
PlaHKWinBeach1,Plastisphere
PlaHKWinBeach2,Plastisphere
PlaHKWinBeach3,Plastisphere
PlaHKWinEs1,Plastisphere
PlaHKWinEs2,Plastisphere
PlaHKWinEs4,Plastisphere
PlaHKWinEs5,Plastisphere
PlaHKWinMc1,Plastisphere
PlaHKWinMc10,Plastisphere
PlaHKWinMc11,Plastisphere
PlaHKWinMc12,Plastisphere
PlaHKWinMc13,Plastisphere
PlaHKWinMc15,Plastisphere
PlaHKWinMc2,Plastisphere
PlaHKWinMc3,Plastisphere
PlaHKWinMc4,Plastisphere
PlaHKWinMc5,Plastisphere
PlaHKWinMc6,Plastisphere
PlaHKWinMc7,Plastisphere
PlaHKWinMc8,Plastisphere
PlaHKWinMc9,Plastisphere
PlaHKWinMR1,Plastisphere
PlaHKWinPort1,Plastisphere
PlaHKWinPort2,Plastisphere
PlaHKWinPort3,Plastisphere
PlaHKWinPort4,Plastisphere
PlaHKWinPort5,Plastisphere
PlaHKWinWWTP1,Plastisphere
PlaHKWinWWTP2,Plastisphere
PlaHKWinWWTP3,Plastisphere
PlaHKWinWWTP4,Plastisphere
PlaQDSumBeach1,Plastisphere
PlaQDSumBeach2,Plastisphere
PlaQDSumBeach4,Plastisphere
PlaQDSumBeach5,Plastisphere
PlaQDSumEs1,Plastisphere
PlaQDSumEs2,Plastisphere
PlaQDSumEs3,Plastisphere
PlaQDSumMc1,Plastisphere
PlaQDSumMc2,Plastisphere
PlaQDSumMc4,Plastisphere
PlaQDSumMc5,Plastisphere
PlaQDSumMR1,Plastisphere
PlaQDSumMR2,Plastisphere
PlaQDSumMR3,Plastisphere
PlaQDSumPort1,Plastisphere
PlaQDSumPort2,Plastisphere
PlaQDSumPort3,Plastisphere
PlaQDSumPort4,Plastisphere
PlaQDSumPort5,Plastisphere
PlaQDSumWWTP1,Plastisphere
PlaQDSumWWTP2,Plastisphere
PlaQDSumWWTP3,Plastisphere
PlaQDSumWWTP4,Plastisphere
PlaQDSumWWTP5,Plastisphere
PlaQDWinBeach1,Plastisphere
PlaQDWinBeach2,Plastisphere
PlaQDWinBeach3,Plastisphere
PlaQDWinBeach4,Plastisphere
PlaQDWinBeach5,Plastisphere
PlaQDWinEs1,Plastisphere
PlaQDWinEs2,Plastisphere
PlaQDWinEs3,Plastisphere
PlaQDWinEs4,Plastisphere
PlaQDWinEs5,Plastisphere
PlaQDWinMc1,Plastisphere
PlaQDWinMc2,Plastisphere
PlaQDWinMc3,Plastisphere
PlaQDWinMc4,Plastisphere
PlaQDWinMc5,Plastisphere
PlaQDWinMR1,Plastisphere
PlaQDWinMR2,Plastisphere
PlaQDWinMR3,Plastisphere
PlaQDWinMR4,Plastisphere
PlaQDWinMR5,Plastisphere
PlaQDWinPort1,Plastisphere
PlaQDWinPort2,Plastisphere
PlaQDWinPort3,Plastisphere
PlaQDWinPort4,Plastisphere
PlaQDWinPort5,Plastisphere
PlaQDWinWWTP1,Plastisphere
PlaQDWinWWTP2,Plastisphere
PlaQDWinWWTP3,Plastisphere
PlaQDWinWWTP4,Plastisphere
PlaQDWinWWTP5,Plastisphere
