#OTUID,EnvHKSumMc1,EnvHKSumMR1,EnvHKSumMR2,EnvHKSumMR3,EnvHKSumMR4,EnvHKSumPort1,EnvHKSumWWTP2,EnvHKWinBeach1,EnvHKWinBeach2,EnvHKWinBeach3,EnvHKWinEs1,EnvHKWinEs2,EnvHKWinEs4,EnvHKWinEs5,EnvHKWinMc1,EnvHKWinMc10,EnvHKWinMc11,EnvHKWinMc12,EnvHKWinMc13,EnvHKWinMc15,EnvHKWinMc2,EnvHKWinMc3,EnvHKWinMc4,EnvHKWinMc5,EnvHKWinMc6,EnvHKWinMc7,EnvHKWinMc8,EnvHKWinMc9,EnvHKWinMR1,EnvHKWinPort1,EnvHKWinPort2,EnvHKWinPort3,EnvHKWinPort4,EnvHKWinPort5,EnvHKWinWWTP1,EnvHKWinWWTP2,EnvHKWinWWTP3,EnvHKWinWWTP4,EnvQDSumBeach1,EnvQDSumBeach2,EnvQDSumBeach4,EnvQDSumBeach5,EnvQDSumEs1,EnvQDSumEs2,EnvQDSumEs3,EnvQDSumMc1,EnvQDSumMc2,EnvQDSumMc4,EnvQDSumMc5,EnvQDSumMR1,EnvQDSumMR2,EnvQDSumMR3,EnvQDSumPort1,EnvQDSumPort2,EnvQDSumPort3,EnvQDSumPort4,EnvQDSumPort5,EnvQDSumWWTP1,EnvQDSumWWTP2,EnvQDSumWWTP3,EnvQDSumWWTP4,EnvQDSumWWTP5,EnvQDWinBeach1,EnvQDWinBeach2,EnvQDWinBeach3,EnvQDWinBeach4,EnvQDWinBeach5,EnvQDWinEs1,EnvQDWinEs2,EnvQDWinEs3,EnvQDWinEs4,EnvQDWinEs5,EnvQDWinMc1,EnvQDWinMc2,EnvQDWinMc3,EnvQDWinMc4,EnvQDWinMc5,EnvQDWinMR1,EnvQDWinMR2,EnvQDWinMR3,EnvQDWinMR4,EnvQDWinMR5,EnvQDWinPort1,EnvQDWinPort2,EnvQDWinPort3,EnvQDWinPort4,EnvQDWinPort5,EnvQDWinWWTP1,EnvQDWinWWTP2,EnvQDWinWWTP3,EnvQDWinWWTP4,EnvQDWinWWTP5,PlaHKSumMc1,PlaHKSumMR1,PlaHKSumMR2,PlaHKSumMR3,PlaHKSumMR4,PlaHKSumPort1,PlaHKSumWWTP2,PlaHKWinBeach1,PlaHKWinBeach2,PlaHKWinBeach3,PlaHKWinEs1,PlaHKWinEs2,PlaHKWinEs4,PlaHKWinEs5,PlaHKWinMc1,PlaHKWinMc10,PlaHKWinMc11,PlaHKWinMc12,PlaHKWinMc13,PlaHKWinMc15,PlaHKWinMc2,PlaHKWinMc3,PlaHKWinMc4,PlaHKWinMc5,PlaHKWinMc6,PlaHKWinMc7,PlaHKWinMc8,PlaHKWinMc9,PlaHKWinMR1,PlaHKWinPort1,PlaHKWinPort2,PlaHKWinPort3,PlaHKWinPort4,PlaHKWinPort5,PlaHKWinWWTP1,PlaHKWinWWTP2,PlaHKWinWWTP3,PlaHKWinWWTP4,PlaQDSumBeach1,PlaQDSumBeach2,PlaQDSumBeach4,PlaQDSumBeach5,PlaQDSumEs1,PlaQDSumEs2,PlaQDSumEs3,PlaQDSumMc1,PlaQDSumMc2,PlaQDSumMc4,PlaQDSumMc5,PlaQDSumMR1,PlaQDSumMR2,PlaQDSumMR3,PlaQDSumPort1,PlaQDSumPort2,PlaQDSumPort3,PlaQDSumPort4,PlaQDSumPort5,PlaQDSumWWTP1,PlaQDSumWWTP2,PlaQDSumWWTP3,PlaQDSumWWTP4,PlaQDSumWWTP5,PlaQDWinBeach1,PlaQDWinBeach2,PlaQDWinBeach3,PlaQDWinBeach4,PlaQDWinBeach5,PlaQDWinEs1,PlaQDWinEs2,PlaQDWinEs3,PlaQDWinEs4,PlaQDWinEs5,PlaQDWinMc1,PlaQDWinMc2,PlaQDWinMc3,PlaQDWinMc4,PlaQDWinMc5,PlaQDWinMR1,PlaQDWinMR2,PlaQDWinMR3,PlaQDWinMR4,PlaQDWinMR5,PlaQDWinPort1,PlaQDWinPort2,PlaQDWinPort3,PlaQDWinPort4,PlaQDWinPort5,PlaQDWinWWTP1,PlaQDWinWWTP2,PlaQDWinWWTP3,PlaQDWinWWTP4,PlaQDWinWWTP5
ASV_2,208,294,388,391,571,349,263,1352,1331,1408,1137,1001,1652,1748,1714,263,120,345,527,413,1707,1893,1921,183,291,403,54,48,343,83,47,77,872,731,502,1276,1225,1741,1209,2059,1623,702,49904,35868,55459,26314,5082,85117,46822,87250,24856,24797,2620,4500,3089,3623,2676,25639,21283,12031,7341,5969,578,126,630,638,544,839,838,929,277,553,133,322,686,921,422,388,824,450,153,543,177,669,758,622,187,523,505,136,275,703,146,755,1357,796,2583,334,652,250,344,263,286,208,136,75,286,134,329,332,268,179,200,107,54,67,239,316,249,263,313,346,229,169,17,25,66,12,24,275,598,727,616,247,4040,592,239,645,2667,1934,1119,2619,1098,5484,351,747,568,123,893,229,802,1127,747,291,339,749,565,143,697,569,148,599,716,625,758,649,198,391,898,843,451,767,1024,543,1132,681,255,839,1061,142,646,748,590,171
ASV_4,355,44,8,8,3,641,285,25,24,22,16,15,19,31,26,14,15,15,15,18,15,31,22,10,17,25,13,18,26,781,565,567,510,16,22,18,21,16,866,1403,487,572,1213,912,1715,403,479,1833,1078,1106,428,532,472,1730,1275,988,960,10,11,5,14,7,3716,2464,4784,6175,4630,4445,5704,6235,2229,3913,19250,37224,48465,22537,24374,5093,1938,2010,1684,3537,8938,9891,14563,11646,3053,59459,30592,20885,41809,22913,710,500,415,480,521,93,92,23,19,20,18,17,17,23,13,1142,733,624,627,784,16,17,374,388,984,1156,909,960,370,324,388,341,972,1080,910,645,735,598,319,1135,728,571,1230,925,562,1124,846,250,306,950,693,742,1019,713,256,324,343,430,356,1443,828,654,1900,1352,1640,543,995,1083,638,518,1371,834,35176,1774,11280,9280,2670,1090,607,1578,928,1337,1850,5660,1366,739,1419,21357,19040,22249,25775,1250
ASV_6,551,1630,1622,1542,4646,1931,281,555,766,1121,494,486,633,623,2931,66,100,99,155,91,3363,5286,3280,1355,181,424,41,77,130,343,90,162,167,1157,1360,429,373,450,17038,16470,16629,8538,3697,5637,3265,8055,4056,17619,4737,7469,9628,3789,48583,35445,45480,8356,26419,10699,4059,3098,9816,31056,249,89,326,345,225,490,404,395,363,682,219,442,228,441,200,383,282,187,95,352,85,368,406,236,239,284,224,173,322,213,574,291,184,153,488,120,125,84,119,82,68,149,50,88,47,125,109,73,69,135,151,347,51,102,83,104,71,63,101,80,168,421,32,82,300,58,107,73,373,567,274,412,376,239,206,505,328,216,117,443,171,307,396,224,265,100,621,110,398,538,291,264,412,268,288,117,469,233,134,366,389,220,419,289,268,539,309,234,235,415,242,224,352,223,79,366,326,86,408,424,238,259
ASV_7,7,6,5,2,1,5,7,7,2,8,3,3,11,4,5,3,6,1,7,8,8,8,7,8,7,6,2,5,8,50,1690,1929,1637,6,2,2,4,4,650,491,43,26,419,855,593,35,24,655,305,20,48,28,377,635,441,870,351,2,0,4,8,2,105,43,589,1143,592,34534,62194,49886,99706,61551,2834,2590,1333,5149,4275,381,36,28,14,255,65,319,606,329,580,576,297,626,454,87,1589,1787,1388,1674,1814,4,4,5,11,6,3,5,4,2,4,14,58,55,45,38,5,0,9,12,10,11,7,11,7,10,15,11,4,6,11,44,60,52,203,397,195,483,323,211,362,384,23,21,13,293,12,33,334,5,20,14,158,23,259,537,237,555,294,13,29,11,267,51,52,243,452,211,536,261,526,343,33,265,404,335,22,25,1326,33,48,207,383,24,213,594,271,500
ASV_15,253,379,421,377,297,1962,578,2451,2599,574,766,514,521,474,1729,1080,592,915,859,670,3112,3068,3915,1318,1230,6963,3843,1588,434,125,229,191,488,1503,987,1287,1348,1282,716,734,837,185,19079,29643,40331,651,184,283,303,701,1775,596,2147,5109,702,2140,809,2461,1048,1454,413,672,434,47,111,129,114,99,92,159,289,491,196,329,118,834,82,352,150,302,31,77,34,104,145,122,188,97,89,142,247,76,171,580,236,294,285,489,375,154,324,133,141,157,185,96,144,107,709,129,187,220,214,174,174,145,159,190,150,129,230,183,267,305,80,68,112,155,156,250,91,136,127,190,129,123,156,671,922,769,360,3884,624,9398,347,110,476,33,172,118,342,780,303,390,310,95,416,25,48,309,21,31,43,69,102,134,210,340,116,234,304,533,222,387,138,474,82,217,238,47,111,96,118,183
ASV_515,264,550,26,179,26,329,556,354,359,778,78,427,65,266,12561,59,540,303,120,316,2520,1822,6076,3229,49,613,81,448,50,43069,1637,91565,7851,256,1194,844,865,429,45,32,37,16,187,148,204,19,14,79,45,55,112,103,32,72,71,44,34,30,117,150,31,279,384,206,441,548,383,569,5388,3876,3857,988,403,352,394,842,597,287,82,149,84,172,90,179,155,102,82,144,47,93,97,62,1166,597,709,862,502,57,404,51,44,181,367,63,157,431,224,55,279,357,450,486,174,549,526,597,74,46,186,608,74,316,59,638,59,536,770,244,1404,274,14,61,29,31,43,30,22,36,54,10,7,33,42,43,22,42,10,10,17,21,33,89,42,49,36,42,206,108,243,24,22,13,43,33,464,179,234,676,168,27,28,60,51,58,4178,65,98,62,46,90,52,204,170,40
ASV_265,296,31264,27815,9455,2405,221,372,1676,1753,831,10348,9147,7850,8808,142,277,455,263,180,96,131,128,457,500,80,442,555,434,194,615,2727,1131,2400,517,595,1035,773,435,207,382,138,116,81,72,123,283,205,453,220,107,184,145,223,190,107,97,200,349,318,262,370,448,1191,754,1391,1450,1294,147,141,70,47,111,78,165,106,130,134,4764,1250,3656,3968,5959,1344,3005,2080,1526,932,673,187,240,390,339,554,280,165,173,209,528,487,158,178,104,110,205,642,455,86,148,191,139,117,143,81,250,674,549,303,198,173,164,340,256,923,479,463,740,384,505,432,251,102,60,53,23,68,51,26,53,33,71,55,95,32,217,75,24,72,62,117,75,108,70,32,19,157,65,94,70,119,256,106,300,396,161,76,42,21,113,38,137,49,256,64,119,248,112,251,139,107,297,197,1835,101,87
ASV_55,448,237,4,4,3,85,387,8,14,10,9,2,8,7,31,14,17,14,15,13,32,20,37,13,12,23,22,10,14,117,36,27,18,8,9,9,6,4,41,413,213,249,350,46,420,191,244,255,294,118,247,265,340,209,342,53,248,3,3,4,2,7,2444,1628,3805,6643,949,443,300,325,108,549,300,1000,363,1639,684,326,80,159,174,283,193,327,223,227,31,203,163,49,275,92,39,22,23,19,48,72,75,15,87,5,24,25,15,12,10,27,111,79,84,98,15,15,71,31,83,14,10,99,72,13,35,9,5,24,10,93,117,79,272,2027,279,52,139,161,268,281,119,195,196,246,60,182,315,66,144,117,317,183,488,216,879,41,10461,2649,11025,16632,29538,865,503,3085,3093,18609,8107,1468,2050,9756,3585,273,654,658,1207,400,1104,1803,3303,559,300,372,1646,775,973,182
ASV_18,80,64,14,4,4,23,30,198,265,123,35,18,54,45,3064,45,355,299,407,393,8572,5231,4196,1807,364,392,103,91,97,67,76,50,39,10,88,177,122,139,26,59,122,39,770,116,209,76,52,63,319,60,200,112,988,60,414,15,40,49,19,38,44,27,213,150,744,255,259,817,93,333,50,103,259,632,184,1230,278,129,61,70,44,625,56,729,97,257,32,45,174,19,37,47,108,683,846,385,1006,31,12,238,1873,232,187,263,594,474,339,58,32,31,55,74,393,910,687,348,26,22,29,424,92,88,70,81,24,33,29,31,27,11,989,617,251,34,474,376,195,494,2469,2703,2305,467,314,1814,92,108,326,385,46082,380,24085,902,25540,249,79,47,438,53,819,374,203,1189,813,1457,1068,406,160,1797,332,259,181,84,343,66,258,115,48,566,140,51,817,116,311,19
ASV_19,34,39,143,87,26,85,127,550,950,530,9744,7743,3906,3928,104,2025,613,1096,638,237,37,87,82,471,1603,1963,7509,4148,4187,549,26771,1979,6408,991,600,768,720,300,105,223,119,88,26,16,63,126,95,199,120,122,44,41,180,116,105,111,113,60,35,7,14,18,456,336,760,539,647,204,157,136,119,250,30,72,33,209,157,4489,800,1483,1699,2597,379,1254,981,532,588,162,98,91,148,70,218,312,241,159,207,298,244,77,150,57,117,146,299,238,20,72,106,88,32,66,34,29,409,406,160,141,83,67,199,310,1109,113,339,1518,93,548,286,171,140,128,96,67,21,18,5,79,42,102,55,88,15,92,134,93,25,25,50,28,69,55,44,30,72,15,39,21,39,22,5,28,24,9,16,13,12,43,14,36,10,52,10,128,281,24,28,37,23,612,147,267,58,14
