SampleID	Akashiwo_sanguinea	Alexandrium_andersonii	Alexandrium_cohorticula	Alexandrium_hiranoi	Alexandrium_ostenfeldii	Alexandrium_tamarense	Amphidinium_klebsii	Asterionellopsis_glacialis	Aureococcus_anophagefferens	Azadinium_poporum	Chaetoceros_curvisetus	Chaetoceros_debilis	Chaetoceros_diadema	Chaetoceros_lorenzianus	Chaetoceros_pseudocurvisetus	Chaetoceros_rostratus	Chaetoceros_simplex	Chaetoceros_socialis	Chaetoceros_tenuissimus	Chaetoceros_throndsenii	Chrysochromulina_leadbeateri	Coscinodiscus_radiatus	Cyclotella_meneghiniana	Cylindrotheca_closterium	Dictyocha_fibula	Dinophysis_acuminata	Dinophysis_miles	Dunaliella_salina	Eucampia_zodiacus	Fibrocapsa_japonica	Gonyaulax_polygramma	Gonyaulax_spinifera	Gonyaulax_verior	Guinardia_flaccida	Gymnodinium_catenatum	Halamphora_coffeiformis	Heterocapsa_triquetra	Heterosigma_akashiwo	Karenia_mikimotoi	Karlodinium_veneficum	Lauderia_annulata	Lepidodinium_chlorophorum	Leptocylindrus_danicus	Levanderina_fissa	Lingulodinium_polyedra	Margalefidinium_fulvescens	Margalefidinium_polykrikoides	Nitzschia_longissima	Noctiluca_scintillans	Plagioselmis_prolonga	Polykrikos_hartmannii	Prorocentrum_cordatum	Prorocentrum_rhathymum	Prorocentrum_triestinum	Protoceratium_reticulatum	Protodinium_simplex	Protoperidinium_crassipes	Prymnesium_parvum	Prymnesium_polylepis	Pseudo-nitzschia_australis	Pseudo-nitzschia_cuspidata	Pseudo-nitzschia_delicatissima	Pseudochattonella_verruculosa	Pseudocochlodinium_profundisulcus	Pyrophacus_steinii	Skeletonema_marinoi	Teleaulax_acuta	Tenuicylindrus_belgicus	Thalassiosira_allenii	Thalassiosira_curviseriata	Thalassiosira_mala	Thalassiosira_pseudonana	Thalassiosira_weissflogii	Tripos_fusus	Akashiwo_sanguinea	Alexandrium_andersonii	Alexandrium_cohorticula	Alexandrium_hiranoi	Alexandrium_ostenfeldii	Alexandrium_tamarense	Amphidinium_klebsii	Asterionellopsis_glacialis	Aureococcus_anophagefferens	Azadinium_poporum	Chaetoceros_curvisetus	Chaetoceros_debilis	Chaetoceros_diadema	Chaetoceros_lorenzianus	Chaetoceros_pseudocurvisetus	Chaetoceros_rostratus	Chaetoceros_simplex	Chaetoceros_socialis	Chaetoceros_tenuissimus	Chaetoceros_throndsenii	Chrysochromulina_leadbeateri	Coscinodiscus_radiatus	Cyclotella_meneghiniana	Cylindrotheca_closterium	Dictyocha_fibula	Dinophysis_acuminata	Dinophysis_miles	Dunaliella_salina	Eucampia_zodiacus	Fibrocapsa_japonica	Gonyaulax_polygramma	Gonyaulax_spinifera	Gonyaulax_verior	Guinardia_flaccida	Gymnodinium_catenatum	Halamphora_coffeiformis	Heterocapsa_triquetra	Heterosigma_akashiwo	Karenia_mikimotoi	Karlodinium_veneficum	Lauderia_annulata	Lepidodinium_chlorophorum	Leptocylindrus_danicus	Levanderina_fissa	Lingulodinium_polyedra	Margalefidinium_fulvescens	Margalefidinium_polykrikoides	Nitzschia_longissima	Noctiluca_scintillans	Plagioselmis_prolonga	Polykrikos_hartmannii	Prorocentrum_cordatum	Prorocentrum_rhathymum	Prorocentrum_triestinum	Protoceratium_reticulatum	Protodinium_simplex	Protoperidinium_crassipes	Prymnesium_parvum	Prymnesium_polylepis	Pseudo-nitzschia_australis	Pseudo-nitzschia_cuspidata	Pseudo-nitzschia_delicatissima	Pseudochattonella_verruculosa	Pseudocochlodinium_profundisulcus	Pyrophacus_steinii	Skeletonema_marinoi	Teleaulax_acuta	Tenuicylindrus_belgicus	Thalassiosira_allenii	Thalassiosira_curviseriata	Thalassiosira_mala	Thalassiosira_pseudonana	Thalassiosira_weissflogii	Tripos_fusus
EnvHKSumMc1	10	0	0	0	4	4	0	1	0	0	0	0	8	0	1	0	0	0	46	0	0	2	158	67	0	0	0	46	4	2	0	0	0	2	0	10	14	0	1	2	0	0	0	11	0	0	0	4	931	7	1	9	2	80	0	11	1	0	2	0	4	8	0	0	0	37	11	0	3	0	1832	0	14	2	72	0	0	2	10	16	0	1	0	0	13	0	15	0	0	0	0	1	53	0	0	4	190	127	27	0	0	147	1	9	0	0	0	21	0	36	14	6	0	0	1	2	5	0	0	0	3	4	89	22	0	27	2	190	0	11	0	1	2	0	2	5	1	0	0	38	52	1	0	0	102	2	5	0
EnvHKSumMR1	1	0	0	4	2	5	0	12	0	0	0	0	0	0	0	0	0	0	20	0	0	2	140	20	4	0	0	130	4	0	0	0	0	5	0	5	8	0	0	0	0	0	2	9	0	0	0	2	500	5	1	1	11	2204	0	1	0	0	0	0	4	8	0	0	0	5	5	0	0	0	746	0	1	0	64	0	0	0	1	0	0	0	1	0	6	1	7	0	0	1	0	0	154	0	0	6	181	861	2	1	0	100	7	2	0	0	0	3	1	480	44	3	0	1	0	2	9	14	14	0	2	3	14	2	0	23	0	57	0	43	0	7	1	0	2	20	1	0	0	25	7	0	18	1	149	3	0	1
EnvHKSumMR2	8	0	0	0	3	2	0	0	0	0	0	0	3	1	0	0	0	0	39	0	0	0	148	4	0	0	0	51	4	0	0	0	0	0	0	4	7	0	0	0	0	4	3	1	0	0	0	0	9	7	0	1	2	2596	0	12	0	1	1	0	3	13	0	0	0	7	12	0	0	0	1294	0	2	1	32	0	0	3	0	2	0	1	0	0	7	0	4	0	0	0	0	0	233	0	0	2	94	1053	1	0	0	92	17	3	0	0	0	2	0	428	36	0	1	0	0	6	5	6	0	0	2	0	13	4	11	11	2	29	0	68	0	0	0	0	1	22	0	0	0	47	17	1	5	16	119	1	9	0
EnvHKSumMR3	14	0	0	1	3	6	0	1	0	0	0	0	4	0	0	0	0	0	46	0	0	2	225	4	2	0	0	78	4	0	0	0	0	0	1	2	39	2	2	0	0	2	5	2	0	0	0	1	204	4	1	3	2	1341	0	16	1	0	0	1	2	12	0	0	1	4	1	0	0	0	2062	0	5	0	42	0	0	0	1	3	2	1	0	0	13	0	13	0	0	0	0	1	312	0	0	3	172	229	1	0	0	149	12	0	0	0	0	8	0	220	50	7	0	0	1	2	1	4	0	0	0	2	8	9	0	34	7	60	0	15	0	2	1	0	1	31	0	2	0	65	20	0	4	1	29	2	4	2
EnvHKSumMR4	6	0	0	0	4	1	0	2	0	0	0	0	4	0	0	0	0	0	134	0	0	2	1239	18	1	0	1	38	2	0	0	0	0	4	0	1	26	3	1	0	0	0	4	2	1	0	0	4	48	4	0	0	0	602	0	8	0	0	0	0	15	23	1	0	0	8	2	0	4	0	1993	0	10	0	39	0	0	0	6	3	0	0	0	0	7	0	5	1	1	1	0	0	334	0	0	1	128	1534	2	0	0	82	11	4	0	0	0	2	0	141	7	4	0	0	2	1	3	8	0	0	0	8	16	7	0	16	1	27	0	11	0	0	0	1	1	8	0	0	1	41	16	0	2	6	85	0	2	0
EnvHKSumPort1	38	0	0	1	0	0	0	0	0	0	0	0	8	0	1	0	0	0	118	0	0	6	788	36	5	0	1	139	20	3	0	0	0	4	0	7	27	7	1	2	0	6	5	25	0	0	0	1	51	6	2	8	0	76	0	107	0	0	2	0	0	21	0	0	0	33	33	4	4	2	349	0	531	4	27	0	1	0	4	9	0	0	0	0	0	0	1	0	0	0	0	0	41	1	0	0	50	16	5	0	0	36	6	4	0	0	0	0	0	2	12	1	0	1	0	3	5	3	1	0	1	0	30	4	0	1	3	66	0	17	0	0	0	0	63	2	0	0	0	26	23	1	7	0	3682	0	13	0
EnvHKSumWWTP2	51	2	0	3	15	11	0	1	0	0	0	0	2	0	0	0	0	1	112	0	1	1	149	122	2	0	0	117	9	4	1	0	0	5	1	2	37	8	1	0	0	6	6	139	0	0	0	6	202	6	9	16	8	157	0	59	1	7	0	0	2	1	1	13	0	12	5	0	58	1	653	0	552	3	151	0	0	1	11	61	0	2	1	0	0	0	1	1	0	0	0	1	371	0	0	6	341	39	12	0	1	68	27	13	0	0	0	10	3	24	100	8	4	0	0	23	25	10	3	0	0	0	126	5	2	10	10	279	0	194	1	3	0	1	10	6	2	2	0	72	11	4	35	0	450	0	17	2
EnvHKWinBeach1	27	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	98	0	0	5	67	56	1	0	0	16	12	8	0	0	0	35	1	9	35	2	3	0	0	17	9	1	0	0	0	6	5	20	2	4	5	104	0	268	0	2	3	7	0	16	0	2	0	7	17	0	1	0	105	0	4	1	62	0	0	2	17	22	0	3	1	0	0	0	3	0	0	1	0	1	186	1	0	4	112	825	7	0	0	18	15	6	1	1	0	8	1	105	71	6	3	1	0	5	4	114	0	0	1	2	147	9	11	7	13	137	1	122	0	3	7	0	5	9	0	0	0	26	7	1	15	2	127	0	11	6
EnvHKWinBeach2	52	5	0	0	0	11	0	0	1	0	0	1	3	0	0	1	0	1	84	0	0	3	61	48	8	0	1	14	4	13	0	0	0	39	1	9	40	6	2	1	0	31	14	4	0	0	1	4	13	18	3	5	5	96	0	260	1	1	6	18	0	13	2	0	0	11	14	1	0	0	165	0	10	1	38	0	0	0	0	11	0	1	0	0	0	1	0	0	0	0	0	0	94	0	0	9	67	906	0	0	0	9	6	1	1	0	0	16	22	285	39	4	20	1	0	24	4	4	0	0	0	3	11	10	1	5	0	37	0	34	0	0	3	9	0	8	0	0	0	7	13	0	7	5	25	0	6	2
EnvHKWinBeach3	92	1	0	1	10	15	0	0	1	0	0	1	2	0	0	0	0	0	228	0	0	6	205	47	16	0	0	34	15	3	1	1	0	56	0	7	54	8	7	1	2	29	12	8	1	0	0	3	34	16	8	5	3	130	0	127	0	5	6	5	2	60	0	1	0	20	44	2	1	0	95	0	5	0	51	1	0	1	2	3	0	2	0	0	0	0	0	0	0	0	0	0	230	0	0	13	164	453	0	0	1	50	27	3	0	1	0	8	2	61	59	12	2	0	0	8	19	30	2	0	0	3	37	9	9	13	2	91	0	198	0	2	3	0	3	46	2	1	0	68	60	1	7	1	39	0	17	3
