#OTUID	PlaHKSumMc1	PlaHKSumMR1	PlaHKSumMR2	PlaHKSumMR3	PlaHKSumMR4	PlaHKSumPort1	PlaHKSumWWTP2	PlaHKWinBeach1	PlaHKWinBeach2	PlaHKWinBeach3	PlaHKWinEs1	PlaHKWinEs2	PlaHKWinEs4	PlaHKWinEs5	PlaHKWinMc1	PlaHKWinMc10	PlaHKWinMc11	PlaHKWinMc12	PlaHKWinMc13	PlaHKWinMc15	PlaHKWinMc2	PlaHKWinMc3	PlaHKWinMc4	PlaHKWinMc5	PlaHKWinMc6	PlaHKWinMc7	PlaHKWinMc8	PlaHKWinMc9	PlaHKWinMR1	PlaHKWinPort1	PlaHKWinPort2	PlaHKWinPort3	PlaHKWinPort4	PlaHKWinPort5	PlaHKWinWWTP1	PlaHKWinWWTP2	PlaHKWinWWTP3	PlaHKWinWWTP4	PlaQDSumBeach1	PlaQDSumBeach2	PlaQDSumBeach4	PlaQDSumBeach5	PlaQDSumEs1	PlaQDSumEs2	PlaQDSumEs3	PlaQDSumMc1	PlaQDSumMc2	PlaQDSumMc4	PlaQDSumMc5	PlaQDSumMR1	PlaQDSumMR2	PlaQDSumMR3	PlaQDSumPort1	PlaQDSumPort2	PlaQDSumPort3	PlaQDSumPort4	PlaQDSumPort5	PlaQDSumWWTP1	PlaQDSumWWTP2	PlaQDSumWWTP3	PlaQDSumWWTP4	PlaQDSumWWTP5	PlaQDWinBeach1	PlaQDWinBeach2	PlaQDWinBeach3	PlaQDWinBeach4	PlaQDWinBeach5	PlaQDWinEs1	PlaQDWinEs2	PlaQDWinEs3	PlaQDWinEs4	PlaQDWinEs5	PlaQDWinMc1	PlaQDWinMc2	PlaQDWinMc3	PlaQDWinMc4	PlaQDWinMc5	PlaQDWinMR1	PlaQDWinMR2	PlaQDWinMR3	PlaQDWinMR4	PlaQDWinMR5	PlaQDWinPort1	PlaQDWinPort2	PlaQDWinPort3	PlaQDWinPort4	PlaQDWinPort5	PlaQDWinWWTP1	PlaQDWinWWTP2	PlaQDWinWWTP3	PlaQDWinWWTP4	PlaQDWinWWTP5
ASV_2	53	154	233	312	334	41	371	186	94	230	163	106	52	36	208	102	127	236	228	120	66	18	7	32	126	275	233	129	26	259	107	100	15	12	52	8	13	213	56	57	349	156	950	492	123	33	362	259	167	584	106	934	28	426	331	102	80	229	69	379	62	218	20	45	49	22	66	35	26	49	48	49	66	330	18	25	57	507	112	70	158	89	107	101	79	247	317	19	72	85	63	13
ASV_4	224	111	66	173	75	7	50	20	7	13	13	12	9	12	8	941	288	429	552	531	4	3	45	172	491	1015	805	432	39	258	170	192	798	456	677	430	403	477	33	94	405	349	256	760	311	72	112	40	40	211	63	109	87	420	135	285	20	430	33	446	75	494	154	104	141	66	63	61	114	35	91	82	2048	832	1103	795	129	654	151	108	127	246	153	720	370	200	424	2772	2266	2000	2536	76
ASV_6	175	61	32	63	64	10	77	69	29	65	39	64	20	47	31	104	43	53	59	94	43	75	5	47	42	92	63	31	13	57	65	245	30	38	229	34	58	53	30	49	140	268	75	198	111	26	44	27	18	79	10	51	45	124	149	82	43	110	36	167	23	196	33	22	24	20	35	16	31	18	27	22	30	136	23	44	15	136	51	27	34	47	44	23	22	81	99	16	61	33	19	22
ASV_7	564	368	229	630	275	1	2	5	3	6	2	2	1	0	4	12	20	35	37	20	1	0	1	7	4	10	7	3	0	8	8	8	3	3	10	26	29	38	18	41	95	283	69	176	183	19	1	4	2	57	1	8	22	2	12	12	9	23	21	178	16	399	18	1	2	1	21	3	8	9	37	19	35	130	60	32	3	151	97	26	5	5	119	2	15	59	94	3	35	47	25	39
ASV_15	57	121	39	102	45	57	226	124	68	115	75	85	64	43	101	92	253	87	163	154	49	54	33	63	81	171	138	57	27	140	123	191	69	28	86	91	80	189	6	21	59	120	31	102	87	44	131	97	45	887	36	1593	22	64	253	29	9	118	32	219	28	295	18	5	38	6	4	16	4	0	3	3	4	59	19	32	6	122	76	53	38	76	9	52	20	60	69	4	14	11	9	14
ASV_515	372	118	117	273	70	9	245	46	10	147	208	26	62	221	152	45	93	246	388	329	54	141	90	278	44	36	173	265	7	246	24	370	49	233	580	150	768	214	0	3	16	17	12	28	11	2	4	2	1	11	3	7	0	28	7	10	0	21	2	37	4	32	3	2	16	10	26	0	2	0	3	2	21	85	22	53	11	15	9	8	9	15	370	7	29	13	17	16	4	15	24	2
ASV_265	184	57	28	60	27	66	279	136	37	91	64	114	231	232	50	124	72	89	88	104	27	62	99	263	156	165	157	72	36	206	426	277	368	307	296	302	239	176	7	3	22	14	13	43	14	2	6	12	14	20	4	44	5	16	40	53	8	75	7	18	4	11	12	4	8	6	10	14	22	21	30	9	2	24	2	15	6	85	14	20	10	20	18	9	72	41	26	51	27	161	16	5
ASV_55	14	4	3	6	6	9	43	13	26	4	14	17	8	6	8	20	39	47	70	63	5	2	13	17	49	13	9	47	8	11	17	3	5	11	9	51	66	57	35	188	153	34	34	138	156	10	12	27	36	59	2	35	19	44	70	97	25	183	53	71	78	30	756	194	986	2011	2175	38	106	171	210	1420	497	711	198	765	171	175	153	41	182	74	90	230	910	173	83	52	196	76	109	15
ASV_18	36	133	137	149	123	7	8	189	417	202	107	136	205	213	226	48	13	22	46	56	104	260	107	167	11	21	28	186	9	65	21	51	19	9	17	23	18	7	106	56	139	19	91	306	114	25	359	373	347	90	18	301	8	62	175	341	3142	380	1953	272	2133	201	6	8	46	7	59	12	40	66	61	120	57	199	10	147	21	161	38	4	52	10	16	14	11	161	38	8	106	9	40	1
ASV_19	72	64	32	42	39	27	151	62	38	50	68	60	101	116	16	61	43	57	28	50	8	8	55	186	78	129	74	29	30	246	497	61	285	607	71	304	154	124	13	10	47	44	7	12	2	5	2	15	10	19	1	13	8	62	16	21	2	28	5	21	7	23	4	1	2	3	5	2	2	2	4	0	0	6	2	7	0	19	0	5	1	26	23	5	10	13	4	87	15	20	6	2
ASV_20	9	39	64	14	11	14	175	102	29	174	20	33	57	138	23	54	65	161	35	39	14	1	31	145	58	133	184	24	19	42	33	19	94	107	25	78	175	116	3	1	5	8	6	9	8	2	3	2	5	1	2	7	3	4	5	11	1	14	4	168	0	9	0	0	1	1	0	0	2	1	2	1	3	6	0	1	0	21	1	3	4	3	9	2	5	13	6	4	1	0	2	0
ASV_22	31	13	7	13	10	4	47	12	19	13	15	36	7	23	20	114	51	61	96	104	16	17	12	79	47	115	58	37	9	92	85	103	68	73	131	50	92	57	15	4	34	41	16	71	36	10	12	18	15	42	1	46	14	30	79	75	11	97	14	36	9	62	17	4	12	18	15	4	16	13	7	5	3	30	7	20	5	73	13	17	16	45	11	13	25	24	14	109	46	36	13	4
ASV_21	98	129	118	14	78	3680	435	101	16	32	11	46	155	104	9	66	19	31	17	72	20	33	88	156	88	16	35	11	17	18	59	99	347	122	112	382	183	117	0	1	1	0	0	3	1	0	1	0	0	0	0	0	0	0	3	2	1	0	0	2	0	1	2	1	17	4	10	2	6	5	6	3	8	44	11	12	6	53	32	9	15	6	1	22	20	50	66	1	4	2	2	0
ASV_23	5	17	11	29	6	2	0	5	5	43	23	8	5	2	25	7	12	30	46	7	8	2	2	5	2	38	40	16	1	43	11	21	2	0	12	1	3	1	3	3	44	48	2	66	31	11	65	36	14	164	13	217	8	28	141	15	5	35	3	50	10	78	11	6	22	1	1	10	4	6	1	8	0	50	14	8	2	50	17	7	8	41	4	29	7	12	7	6	6	1	4	2
ASV_147	14	44	36	50	7	12	100	71	39	59	15	15	38	334	27	35	66	87	65	33	6	5	25	105	60	104	74	29	15	61	37	41	85	80	20	66	111	100	3	3	28	26	24	35	21	4	8	4	9	9	3	16	3	13	23	41	7	50	7	50	1	43	5	1	9	5	2	7	10	5	5	3	8	22	4	5	7	31	11	2	5	16	28	12	21	41	25	203	44	106	18	1
ASV_29	2	10	1	4	2	4	15	27	16	23	208	161	35	13	57	7	2	8	17	5	6	19	732	27	285	11	15	24	7	18	13	13	25	5	3	28	4	6	78	77	851	665	189	164	309	59	58	59	213	92	18	9	3434	289	747	81	95	118	231	84	23	39	46	88	43	93	25	3	0	9	0	1	11	56	24	63	1610	24	16	19	61	7	36	7	242	370	20	7	9	66	12	8
ASV_28	6	10	13	1	2	7	23	3	1	4	10	3	4	6	5	2	110	144	192	191	0	2	1	5	2	8	4	5	0	7	5	5	5	4	3	178	166	191	4	66	93	63	30	28	10	13	2	42	12	68	4	55	20	14	170	43	8	88	12	40	6	15	1690	144	585	249	576	16	21	14	18	7	16	56	11	42	4	82	89	219	155	148	13	346	75	71	61	25	63	27	25	14
ASV_38	0	1	0	2	1	1	1	211	65	196	34	51	94	127	333	2	1	2	5	2	72	109	40	24	0	0	1	5	0	2	3	1	1	1	3	4	1	2	3	9	13	24	54	111	99	4	89	539	476	188	3735	47	5	578	209	114	16	81	1	3	1	3	0	43	49	8	0	1334	24	24	12	7	3	4	0	5	33	3	0	2	63	54	73	23	11	1	0	3	3	14	3	0
ASV_43	62	15	28	42	51	11	60	17	72	49	45	88	45	36	51	124	36	37	68	96	71	36	28	34	42	52	60	90	8	68	79	75	62	42	89	69	72	42	13	56	68	178	11	33	57	1	11	9	2	2	2	6	6	35	48	4	2	26	6	47	3	41	2	2	2	0	1	1	0	0	1	1	2	3	0	1	0	4	3	5	4	1	4	0	0	2	4	0	4	0	1	2
ASV_51	14	66	81	37	72	9	52	245	167	65	169	287	419	358	60	154	11	10	29	25	29	19	6	50	871	50	126	573	463	52	24	20	25	29	23	17	21	53	30	784	410	146	115	145	1179	1	55	27	15	28	13	14	7	170	79	82	471	39	26	106	24	46	43	16	27	19	87	21	49	142	193	720	420	162	28	179	49	94	377	18	946	9	345	99	558	44	95	14	46	49	90	7
ASV_36	3	2	0	1	0	4	16	2	0	0	1	0	0	1	0	2	2	4	4	4	1	1	0	3	1	0	1	2	0	1	3	1	1	1	1	2	3	3	0	5	20	241	4	46	210	0	1	6	0	1	0	5	0	5	19	3	0	4	0	11	9	450	38	24	17	1	1	1	1	0	0	3	7	25	44	4	2	73	286	2	2	72	18	324	93	15	24	23	73	266	555	4216
ASV_44	2	1	0	1	0	1	3	16	57	9	38	4	5	13	6	2	2	1	3	5	4	6	4	4	2	3	3	35	0	2	3	2	1	0	1	5	3	6	33	7	32	3	34	39	4	1	7	7	3	3	3	6	1	13	20	30	52	41	24	60	2	1	3	7	18	14	43	290	1067	2037	1538	509	99	71	11	45	118	47	4	1	6	12	8	11	36	66	46	7	49	38	52	0
ASV_179	59	724	966	194	1421	9	19	193	130	64	44	92	23	16	61	95	20	78	61	148	41	42	66	61	18	30	66	118	5	56	79	23	13	10	31	17	12	17	6	273	95	28	19	28	33	10	44	91	34	3	4	11	0	30	12	13	33	27	169	50	176	23	3	3	12	1	6	29	71	94	120	36	15	26	1	17	10	32	29	3	31	8	17	10	3	22	20	3	9	5	11	1
ASV_49	0	0	0	1	0	1	0	1	0	1	2	0	0	0	1	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	2	0	2	0	3869	145	1	6	63	0	0	20	6	1	1	0	127	18	100	10	386	36	1	1	0	0	0	0	0	0	0	0	0	0	34	1	0	2	26	2	0	2	0	0	0	0	0	0	0	1	0
ASV_56	16	33	58	38	13	1	4	147	22	136	33	33	2	1	48	40	27	137	75	36	13	1	1	3	106	81	162	34	32	58	38	2	3	0	1	1	2	155	0	0	2	1	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	2	0	0	16	15	24	30	28	0	0	0	1	1	1	1	0	0	1	1	0	2	1	0	0	1	0	0	0
ASV_64	33	25	47	64	40	26	67	24	5	67	51	63	68	15	68	67	11	59	80	44	87	30	30	15	10	33	75	31	2	71	57	39	66	1	50	37	2	15	0	0	0	2	3	3	2	4	4	3	0	2	1	1	0	3	2	1	1	14	2	17	3	19	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	25	9	4	5	1	0	7	3	8	16	0	0	0	0	0
ASV_60	47	7	6	37	22	12	55	28	288	33	37	87	31	36	52	120	17	15	52	122	45	20	16	49	25	33	20	30	7	41	71	47	70	52	55	42	70	14	0	3	4	12	2	8	5	1	6	3	2	3	0	0	1	14	0	3	0	16	8	21	2	25	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	3	0	6	2	0
ASV_63	31	35	37	52	15	8	37	25	20	94	55	32	25	29	581	29	25	60	93	35	78	59	209	38	5	34	95	40	0	83	17	15	27	9	18	17	5	1	1	13	2	5	754	15	11	3	20	30	15	12	3	20	8	11	23	15	7	4	1	26	0	5	1	0	7	1	2	1	0	0	4	0	4	0	0	1	8	13	9	2	11	7	5	6	6	11	16	1	0	3	0	0
ASV_59	30	61	9	39	17	38	193	137	25	19	23	36	14	23	9	24	35	17	26	44	6	8	13	28	104	69	15	12	21	22	24	24	38	18	100	33	34	172	0	3	9	3	0	0	0	0	1	7	1	0	0	0	2	10	1	3	0	7	4	4	0	5	5	1	0	0	0	0	1	0	2	1	1	1	1	1	0	42	13	9	12	10	2	9	11	28	29	1	4	4	1	0
ASV_73	23	2	5	7	5	15	6	4	2	12	5	11	53	1	6	24	16	21	23	28	9	16	36	17	11	15	25	10	2	19	11	37	128	9	42	118	19	31	2	5	10	22	3	23	16	7	20	3	4	21	2	16	4	8	23	27	0	47	5	48	3	54	4	5	11	0	4	0	7	2	4	2	22	14	4	14	1	10	8	3	4	11	21	6	16	16	8	96	42	92	24	1
ASV_69	57	10	4	3	4	11	79	120	2	12	2	10	33	57	2	42	10	22	5	15	8	17	8	60	94	32	17	10	33	15	21	47	37	58	79	26	61	128	1	0	4	3	0	4	0	0	1	1	1	3	0	2	1	1	6	7	0	15	2	3	0	8	4	3	4	1	6	8	6	12	8	6	2	8	2	6	0	22	1	2	3	13	0	5	45	47	5	7	9	19	7	4
ASV_70	1	3	0	1	0	1	4	7	0	2	1	0	1	0	3	1	0	2	2	4	1	1	0	7	6	3	1	1	35	5	1	3	1	1	3	3	0	5	0	1	2	1	1	4	1	20	42	3	0	56	14	0	31	172	2	1	0	2	0	1	0	3	796	2959	29	5	20	9	16	7	11	12	2	4	1	65	40	11	2	27	87	34	41	29	16	17	2	12	37	38	19	13
ASV_80	12	3	3	6	6	1	6	2	8	2	4	3	4	5	0	73	31	50	72	52	2	1	7	59	52	69	63	25	11	93	48	53	62	25	98	44	42	52	8	8	31	26	31	65	17	4	4	6	7	21	2	23	5	19	28	61	8	66	4	30	6	29	20	8	22	4	9	2	11	5	9	11	15	34	11	27	0	59	14	3	4	35	58	17	31	44	22	199	49	117	133	5
ASV_83	2	2	1	0	0	0	0	2	1	2	89	86	0	0	0	1	10	11	26	15	0	0	0	0	0	2	1	1	0	2	0	0	3	0	0	17	20	19	3530	21	42	77	9	0	6	0	5	24	30	1	3	3	13	114	2	4	17	11	63	20	0	5	3	3	5	0	33	0	0	12	3	1	275	24	32	69	5	4	3	1	6	1	16	0	4	59	20	1	42	20	0	0
ASV_85	17	6	5	6	4	17	12	3	4	14	8	8	4	8	17	6	8	11	16	11	2	8	3	5	0	14	8	6	0	8	3	22	3	2	21	1	4	3	7	2	7	23	17	32	9	2	25	36	25	20	8	4	9	93	20	5	0	14	2	35	1	17	4	11	2	1	0	0	1	2	2	1	2	11	1	2	8	20	7	2	20	7	26	2	6	6	3	1	4	7	2	1
ASV_87	3	3	2	6	1	1	11	6	14	12	4	1	3	11	4	28	9	14	16	9	0	5	6	13	14	35	11	19	3	13	14	14	23	11	16	14	15	11	7	9	26	37	7	76	24	3	16	7	2	19	6	14	8	38	80	17	2	26	2	27	1	38	1	5	2	1	7	2	1	5	3	1	4	2	1	5	2	24	5	3	8	13	11	6	7	18	10	37	16	5	9	2
ASV_93	6	2	3	5	2	21	111	1	0	2	2	2	5	4	0	1	1	2	2	5	2	0	12	1	3	1	8	4	0	3	1	0	2	1	1	1	2	0	0	2	3	2	0	18	8	17	1	1	0	43	0	0	30	2	1	1	0	6	31	6	64	5	20	1	0	1	0	0	0	1	2	0	1	6	0	27	5	97	73	2586	31	0	0	10	21	44	64	0	1	1	1	0
ASV_98	18	4	3	6	12	2	34	5	7	6	9	33	6	27	12	24	18	7	13	22	11	11	0	31	3	13	11	5	0	19	20	25	15	19	36	14	39	7	1	2	7	25	3	6	13	2	2	1	1	12	0	7	3	8	12	4	1	11	0	2	2	21	2	2	6	0	0	1	2	0	1	1	0	6	3	3	4	8	9	3	3	4	0	2	1	2	1	0	5	1	1	2
