#OTUID	EnvHKSumMc1	EnvHKSumMR1	EnvHKSumMR2	EnvHKSumMR3	EnvHKSumMR4	EnvHKSumPort1	EnvHKSumWWTP2	EnvHKWinBeach1	EnvHKWinBeach2	EnvHKWinBeach3	EnvHKWinEs1	EnvHKWinEs2	EnvHKWinEs4	EnvHKWinEs5	EnvHKWinMc1	EnvHKWinMc10	EnvHKWinMc11	EnvHKWinMc12	EnvHKWinMc13	EnvHKWinMc15	EnvHKWinMc2	EnvHKWinMc3	EnvHKWinMc4	EnvHKWinMc5	EnvHKWinMc6	EnvHKWinMc7	EnvHKWinMc8	EnvHKWinMc9	EnvHKWinMR1	EnvHKWinPort1	EnvHKWinPort2	EnvHKWinPort3	EnvHKWinPort4	EnvHKWinPort5	EnvHKWinWWTP1	EnvHKWinWWTP2	EnvHKWinWWTP3	EnvHKWinWWTP4	EnvQDSumBeach1	EnvQDSumBeach2	EnvQDSumBeach4	EnvQDSumBeach5	EnvQDSumEs1	EnvQDSumEs2	EnvQDSumEs3	EnvQDSumMc1	EnvQDSumMc2	EnvQDSumMc4	EnvQDSumMc5	EnvQDSumMR1	EnvQDSumMR2	EnvQDSumMR3	EnvQDSumPort1	EnvQDSumPort2	EnvQDSumPort3	EnvQDSumPort4	EnvQDSumPort5	EnvQDSumWWTP1	EnvQDSumWWTP2	EnvQDSumWWTP3	EnvQDSumWWTP4	EnvQDSumWWTP5	EnvQDWinBeach1	EnvQDWinBeach2	EnvQDWinBeach3	EnvQDWinBeach4	EnvQDWinBeach5	EnvQDWinEs1	EnvQDWinEs2	EnvQDWinEs3	EnvQDWinEs4	EnvQDWinEs5	EnvQDWinMc1	EnvQDWinMc2	EnvQDWinMc3	EnvQDWinMc4	EnvQDWinMc5	EnvQDWinMR1	EnvQDWinMR2	EnvQDWinMR3	EnvQDWinMR4	EnvQDWinMR5	EnvQDWinPort1	EnvQDWinPort2	EnvQDWinPort3	EnvQDWinPort4	EnvQDWinPort5	EnvQDWinWWTP1	EnvQDWinWWTP2	EnvQDWinWWTP3	EnvQDWinWWTP4	EnvQDWinWWTP5
ASV_2	46	20	39	46	134	118	112	98	84	228	61	64	84	90	58	63	51	108	176	172	68	68	100	9	75	35	4	8	100	4	9	0	118	110	71	194	153	342	88	159	162	111	2161	1598	1931	1750	1083	3187	3507	3680	2029	2862	115	260	219	526	205	1894	2485	2124	880	487	53	20	61	46	69	38	30	49	21	20	17	30	49	80	47	21	175	52	21	49	29	55	86	90	49	23	53	23	22	93
ASV_4	98	3	1	0	1	213	97	2	1	4	2	1	2	1	3	3	8	5	8	6	0	0	1	1	3	4	0	3	4	62	56	21	62	4	0	1	3	2	68	108	37	104	52	38	59	28	98	67	73	46	23	51	19	115	89	137	78	1	0	2	3	1	325	436	400	456	562	195	246	343	92	182	2679	2954	3339	1966	2735	319	377	225	234	279	1447	925	1330	1839	675	3554	3607	3304	3339	3190
ASV_6	126	132	136	205	1202	639	109	43	43	188	16	25	25	22	111	20	40	36	54	42	163	202	143	75	38	38	6	6	34	27	11	5	21	194	209	56	46	77	1409	1390	1402	1421	170	216	108	519	852	696	355	311	807	429	2240	2119	3119	1208	1946	825	467	543	1206	2607	22	15	18	28	33	33	15	27	15	32	25	35	22	40	29	28	52	18	14	33	17	35	36	35	52	14	29	29	33	23
ASV_7	3	0	0	0	0	4	4	1	0	3	0	0	1	0	0	0	3	1	2	2	0	0	0	1	1	0	1	0	5	8	168	72	252	3	0	0	0	1	69	50	3	4	19	30	15	4	6	27	17	0	2	2	16	39	26	103	25	0	0	0	1	0	10	8	47	100	70	1649	2512	2862	3694	2561	381	211	81	452	501	30	4	3	2	20	12	34	57	59	129	27	51	77	42	10
ASV_15	67	23	42	53	83	649	231	168	128	121	35	32	37	27	86	292	243	259	300	275	135	141	153	77	314	718	344	225	130	8	30	7	67	250	139	202	198	283	50	80	79	22	822	1182	1248	54	46	10	25	19	167	62	110	313	49	291	65	174	125	280	48	41	42	13	5	12	18	7	3	7	2	16	34	35	8	72	9	26	31	32	4	7	2	9	9	18	32	5	14	19	16	10
ASV_515	67	41	4	30	3	99	213	18	25	140	7	18	3	15	509	21	229	80	45	129	97	70	257	156	10	73	9	62	13	3734	148	3869	1129	34	181	115	136	83	4	2	4	3	9	2	5	1	2	4	4	1	21	8	0	2	4	5	4	2	12	27	2	24	39	27	28	47	55	28	214	232	127	40	56	25	29	61	69	23	19	15	12	12	6	17	14	15	21	5	3	16	11	9
ASV_265	80	2204	2596	1341	602	75	156	104	96	130	490	475	416	460	5	68	197	84	65	40	4	5	22	31	23	49	49	40	65	54	263	40	326	74	106	153	128	98	12	35	8	30	2	2	4	21	46	14	14	5	15	23	8	9	6	15	9	23	45	51	48	41	106	135	124	109	158	6	7	6	3	3	8	12	6	6	12	292	289	407	538	462	223	292	216	241	202	51	30	41	31	50
ASV_55	107	18	0	1	1	24	174	0	2	2	1	0	1	0	0	3	8	3	4	8	1	2	1	2	3	2	2	1	4	8	5	1	3	2	5	2	2	0	4	34	23	38	19	2	9	10	39	9	23	4	36	27	23	11	21	6	16	0	0	0	0	0	222	278	311	525	137	22	12	19	4	29	32	77	22	164	77	19	26	24	25	23	34	37	23	35	12	13	28	4	18	15
ASV_18	19	3	2	2	2	12	11	8	13	23	0	0	2	3	133	7	118	98	137	191	349	215	186	75	85	44	4	15	31	6	4	4	6	4	11	18	20	20	2	4	13	1	39	4	11	6	11	2	26	3	16	15	45	6	32	2	6	4	1	9	4	1	16	20	70	24	32	46	2	24	0	6	37	55	14	109	33	4	9	9	7	40	13	79	7	38	4	3	21	3	3	5
ASV_19	10	1	8	14	6	36	51	27	52	92	507	400	212	172	4	482	233	341	212	107	0	5	4	14	412	183	706	487	1262	51	2546	75	833	159	97	114	106	67	6	19	14	20	0	4	2	6	21	7	11	7	7	6	10	6	6	16	11	5	5	1	2	4	41	55	71	34	81	11	7	5	4	9	1	4	1	14	17	307	188	180	250	175	74	109	113	95	104	14	15	8	11	6
ASV_20	10	1	10	14	6	89	43	266	257	113	645	1216	1035	1405	30	42	111	34	60	17	21	48	30	21	57	16	64	66	58	10	97	32	98	46	11	36	68	48	24	49	2	4	2	0	2	22	41	16	28	0	5	4	1	2	4	3	6	2	13	6	2	1	16	27	28	19	42	4	3	0	1	1	2	2	0	5	4	69	52	91	91	95	32	54	60	24	90	2	4	4	1	2
ASV_22	26	10	6	14	20	10	6	119	125	165	9	8	6	4	12	5	28	35	32	10	17	25	21	33	19	16	8	9	66	14	4	6	5	209	263	190	234	183	558	490	309	417	6	13	3	36	114	22	38	41	273	244	189	137	137	220	218	195	69	63	605	283	205	191	161	156	335	7	0	2	3	14	35	40	16	30	23	459	343	477	340	342	204	250	177	167	104	36	35	44	50	32
ASV_21	1816	745	1292	2061	1990	344	640	21	16	48	26	13	5	0	1	30	140	57	7	13	1	7	4	37	24	15	46	41	9	18	128	20	34	46	24	107	49	65	0	0	3	2	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	24	24	47	33	28	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	2	0	1	0	0	1	0	0
ASV_23	8	4	11	12	20	21	0	15	10	58	10	8	12	8	8	0	14	9	24	27	12	13	13	5	9	8	3	0	15	1	0	1	0	2	4	35	33	62	23	32	40	17	758	683	624	1199	524	34	58	5	50	24	13	64	81	134	44	327	531	696	175	80	18	4	5	0	6	2	1	3	4	5	9	7	7	25	6	12	6	14	2	4	3	7	2	13	20	1	5	11	8	6
ASV_147	14	8	7	39	26	27	37	35	40	54	459	625	730	434	6	21	91	47	56	28	4	2	3	17	1	1	13	22	44	6	20	11	17	115	78	50	109	91	121	130	181	312	4	4	2	11	48	18	19	5	10	21	74	70	26	102	69	34	9	11	12	11	76	82	101	94	185	12	9	11	5	5	24	18	14	28	24	35	68	55	55	82	285	292	196	148	293	87	57	69	44	48
ASV_29	30	0	2	0	0	3	55	1	0	0	3	0	0	1	3	61	13	7	16	13	0	0	2	2	5	3	27	35	91	0	9	0	1	5	1	8	1	3	4	47	46	6	7	1	26	1	8	6	2	16	1	2	16	1	6	7	28	1	0	3	1	1	10	19	28	21	12	10	1	2	1	28	3	25	17	6	10	23	72	2	4	7	13	9	5	5	13	2	1	2	32	34
ASV_28	25	6	0	0	0	40	35	0	0	3	0	0	0	0	0	2	1	1	3	1	0	0	0	1	0	1	2	0	2	38	1	0	0	2	1	0	1	2	2	32	42	15	6	1	21	23	20	7	8	4	35	11	14	4	5	5	26	0	0	1	1	0	1565	951	506	743	320	8	8	3	3	23	17	38	16	41	22	25	9	24	34	26	17	16	23	13	92	7	6	1	19	9
ASV_38	2	25	0	1	0	0	3	0	0	1	0	0	0	1	0	14	3	3	0	3	1	0	1	0	2	1	6	8	31	1	2	0	0	0	0	0	0	1	0	1	26	4	0	0	0	14	4	0	0	27	19	4	0	0	0	0	1	0	0	0	0	0	20	5	0	0	0	0	0	0	0	0	1	0	24	34	7	2	121	22	2	1	8	0	0	1	1	1	0	0	0	65
ASV_43	76	40	35	67	31	69	45	206	370	244	12	8	8	10	177	115	90	121	93	88	231	300	242	185	168	336	200	82	264	10	24	7	7	165	308	296	412	311	92	68	46	33	6	6	12	6	14	8	3	17	114	37	57	21	19	28	16	16	8	19	24	14	0	2	1	3	1	1	0	0	3	4	6	1	2	3	3	3	4	1	0	0	2	0	6	1	6	1	0	2	2	1
ASV_51	12	12	2	0	4	9	57	8	12	4	1	1	2	1	3	25	16	29	15	24	9	4	4	0	10	4	15	10	32	0	9	3	20	19	21	27	18	34	7	6	3	3	11	6	2	0	14	13	11	7	1	5	3	15	12	13	5	0	2	2	2	0	22	33	43	52	31	7	14	10	3	3	12	7	10	12	15	4	35	3	4	12	4	16	23	18	10	8	13	13	9	24
ASV_36	4	0	0	0	0	169	3	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	53	0	0	0	4	29	0	3	2	0	9	0	4	0	0	3	6	105	1	0	0	0	0	0	6	13	8	12	16	1	3	5	42	1	74	2	3	7	1	0	2	8	0	0	0	1	4	17	131	4	5	68	17	15
ASV_44	7	34	0	0	0	2	9	1	2	4	0	0	1	0	0	0	0	0	6	1	0	0	3	2	0	1	0	1	2	0	0	0	1	1	1	0	1	1	0	1	9	7	3	0	2	6	9	9	6	2	5	9	18	13	6	0	0	0	1	0	0	0	7	8	42	23	5	14	11	5	1	1	1	3	2	9	14	1	7	4	2	15	7	27	19	7	0	5	7	0	1	3
ASV_179	35	6	2	2	2	20	4	40	22	23	4	1	1	5	176	9	11	13	24	46	253	310	234	80	44	3	7	5	20	4	13	4	14	5	20	39	21	29	3	0	7	3	7	5	4	4	5	8	3	1	12	9	2	7	3	3	0	6	12	6	6	5	52	33	35	43	41	7	16	7	4	5	13	20	5	52	28	1	6	0	1	4	1	6	5	5	2	4	6	4	2	4
ASV_49	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	72	65	72	87	0	0	1	10	47	20	0	0	0	0	0	0	2	0	0	0	0	2	1	42	0	0	1	0	49	0	0	0	0	0	1	1	0	0	0	1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	27	0	0	0	29	3	0	0	0	0	0	0	0	0	0	0	0	20	2
ASV_56	47	34	0	0	15	95	210	13	3	0	0	0	3	23	17	55	0	60	23	43	5	2	0	0	11	0	0	1	36	0	1	0	40	52	0	1	1	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	11	8	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ASV_64	33	5	6	4	8	27	10	6	9	20	9	6	6	4	346	26	24	19	28	62	556	526	389	334	68	32	31	16	11	1	14	4	14	6	28	60	30	88	1	1	2	3	6	13	11	1	2	0	0	1	14	12	0	1	3	2	0	1	5	5	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
ASV_60	41	58	14	31	31	20	32	355	920	894	20	20	14	11	5	104	416	470	428	631	6	10	6	5	144	175	196	111	22	4	9	13	14	152	141	168	61	55	9	24	8	4	0	0	0	15	15	13	8	8	0	1	2	8	8	15	9	3	1	4	17	4	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1	2	0	0	0	1	0	1	0
ASV_63	8	18	59	70	6	48	4	656	109	214	6	5	11	21	620	4	6	3	23	59	112	55	102	21	8	4	4	3	15	2	10	0	1	8	12	25	13	35	43	56	72	39	2	9	14	41	28	6	8	5	10	6	25	9	2	7	2	5	16	12	7	1	5	7	5	10	0	0	2	0	0	0	2	0	1	2	0	0	12	2	0	0	0	3	3	0	3	2	0	0	1	4
ASV_59	27	7	1	16	17	27	77	20	15	32	47	51	217	92	2	444	60	92	448	99	2	2	3	6	390	59	51	144	60	29	140	16	384	107	52	7	42	75	3	5	1	0	0	0	0	5	3	4	3	3	0	0	0	1	1	2	0	5	0	1	2	2	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0
ASV_73	7	1	10	1	1	13	5	9	7	26	8	4	5	3	70	11	48	24	40	37	46	83	224	930	27	16	16	3	7	8	22	1	1	44	42	89	26	30	102	109	111	109	11	6	7	78	264	46	13	8	9	10	88	70	17	32	20	12	4	4	17	13	53	54	52	43	66	2	5	7	3	2	82	58	46	87	46	12	12	10	6	11	89	68	70	82	64	38	32	42	42	32
ASV_69	393	392	7	155	34	31	160	0	5	21	74	38	66	19	2	45	73	104	59	20	0	3	7	2	9	10	9	14	10	12	18	8	47	38	16	5	13	63	2	1	2	2	0	0	0	2	2	0	1	0	0	1	0	2	2	1	0	2	6	0	2	5	11	12	20	5	13	2	0	1	0	0	1	7	0	2	2	60	34	68	111	47	16	23	23	28	8	2	5	3	5	1
ASV_70	4	10	0	0	0	70	2	0	0	1	0	0	0	0	0	1	3	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	44	1	0	0	1	13	1	1	0	0	13	2	0	0	1	0	1	21	1	0	0	0	0	0	5	9	15	12	1	0	1	0	26	1	32	11	2	0	30	74	0	0	1	1	1	1	1	0	3	0	1	19	39
ASV_80	3	0	0	1	0	8	7	6	20	8	0	1	1	0	1	0	3	3	4	3	0	1	2	0	4	1	1	0	6	9	4	2	2	18	11	4	23	6	8	6	18	29	5	1	2	6	19	6	11	3	8	10	8	13	6	17	4	4	1	1	6	2	135	229	209	173	329	7	4	12	3	1	96	69	49	105	65	252	209	301	310	286	334	295	283	252	485	102	60	72	65	61
ASV_83	11	1	0	0	0	1	11	0	0	1	0	0	0	0	0	39	2	1	2	2	0	0	0	0	1	0	27	21	47	7	1	0	0	1	0	0	1	1	0	3	0	1	0	0	2	0	1	3	0	2	0	0	18	4	0	2	0	0	0	1	0	0	1	1	22	5	3	13	0	1	0	2	67	32	340	16	0	0	17	1	0	22	1	26	4	1	3	0	0	1	2	24
ASV_85	8	37	22	27	9	28	31	10	10	17	3	1	0	3	14	10	10	3	7	7	12	22	17	5	17	10	8	6	8	1	2	0	2	6	11	34	19	27	43	37	53	44	76	98	61	35	43	21	6	39	126	49	60	40	41	61	71	107	156	129	114	167	4	1	5	2	3	0	2	4	3	2	6	3	7	3	3	3	35	3	1	0	1	4	1	4	4	1	2	2	1	22
ASV_87	3	0	2	1	4	2	5	29	17	34	1	0	5	6	1	8	3	10	8	4	6	4	3	27	7	8	10	6	16	1	2	1	1	113	79	31	64	59	154	116	363	344	2	7	5	13	27	12	8	22	19	15	229	222	31	175	150	56	57	15	45	25	31	25	35	30	40	7	3	0	2	5	8	7	7	7	8	71	80	76	82	81	47	68	44	30	58	7	9	8	10	8
ASV_93	0	0	1	0	0	1	2	0	1	2	0	1	0	1	7	1	2	2	3	3	4	5	2	3	5	0	1	0	2	0	1	2	2	1	0	2	1	1	0	28	0	0	2	0	16	0	0	1	2	0	0	0	1	0	1	0	24	0	0	0	0	0	0	0	1	0	1	0	0	0	0	60	0	21	0	1	1	26	0	0	0	0	0	0	1	0	1	0	1	0	27	2
ASV_98	16	6	1	7	3	2	3	106	130	128	8	3	4	4	2	5	20	6	10	8	3	2	3	2	10	4	3	5	62	2	1	2	0	84	106	97	143	91	206	187	91	106	0	3	1	40	78	10	17	21	56	49	82	69	79	103	114	80	25	33	257	133	2	1	0	2	0	0	0	0	2	2	5	5	2	3	1	1	8	4	2	0	2	4	2	2	3	1	0	3	1	4
ASV_99	20	0	5	10	11	17	22	12	11	11	169	112	123	110	2	10	19	22	19	9	5	11	2	2	14	0	4	2	24	1	4	3	22	10	3	8	5	17	6	9	1	5	1	0	1	5	14	2	4	0	0	0	0	1	2	3	0	4	7	3	5	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
ASV_100	517	66	2	46	11	9	21	1	2	6	0	1	0	2	0	3	120	195	156	119	1	0	0	1	26	16	0	12	11	15	45	14	42	3	1	0	3	9	1	5	7	12	3	1	3	2	11	0	0	0	5	6	1	1	2	0	3	1	0	0	2	0	26	30	94	21	105	5	1	3	0	3	7	57	2	4	7	285	153	297	430	249	75	91	80	85	60	7	10	17	14	11
