SampleID,PlaHKSumMc1,PlaHKSumMR1,PlaHKSumMR2,PlaHKSumMR3,PlaHKSumMR4,PlaHKSumPort1,PlaHKSumWWTP2,PlaHKWinBeach1,PlaHKWinBeach2,PlaHKWinBeach3,PlaHKWinEs1,PlaHKWinEs2,PlaHKWinEs4,PlaHKWinEs5,PlaHKWinMc1,PlaHKWinMc10,PlaHKWinMc11,PlaHKWinMc12,PlaHKWinMc13,PlaHKWinMc15,PlaHKWinMc2,PlaHKWinMc3,PlaHKWinMc4,PlaHKWinMc5,PlaHKWinMc6,PlaHKWinMc7,PlaHKWinMc8,PlaHKWinMc9,PlaHKWinMR1,PlaHKWinPort1,PlaHKWinPort2,PlaHKWinPort3,PlaHKWinPort4,PlaHKWinPort5,PlaHKWinWWTP1,PlaHKWinWWTP2,PlaHKWinWWTP3,PlaHKWinWWTP4,PlaQDSumBeach1,PlaQDSumBeach2,PlaQDSumBeach4,PlaQDSumBeach5,PlaQDSumEs1,PlaQDSumEs2,PlaQDSumEs3,PlaQDSumMc1,PlaQDSumMc2,PlaQDSumMc4,PlaQDSumMc5,PlaQDSumMR1,PlaQDSumMR2,PlaQDSumMR3,PlaQDSumPort1,PlaQDSumPort2,PlaQDSumPort3,PlaQDSumPort4,PlaQDSumPort5,PlaQDSumWWTP1,PlaQDSumWWTP2,PlaQDSumWWTP3,PlaQDSumWWTP4,PlaQDSumWWTP5,PlaQDWinBeach1,PlaQDWinBeach2,PlaQDWinBeach3,PlaQDWinBeach4,PlaQDWinBeach5,PlaQDWinEs1,PlaQDWinEs2,PlaQDWinEs3,PlaQDWinEs4,PlaQDWinEs5,PlaQDWinMc1,PlaQDWinMc2,PlaQDWinMc3,PlaQDWinMc4,PlaQDWinMc5,PlaQDWinMR1,PlaQDWinMR2,PlaQDWinMR3,PlaQDWinMR4,PlaQDWinMR5,PlaQDWinPort1,PlaQDWinPort2,PlaQDWinPort3,PlaQDWinPort4,PlaQDWinPort5,PlaQDWinWWTP1,PlaQDWinWWTP2,PlaQDWinWWTP3,PlaQDWinWWTP4,PlaQDWinWWTP5,All
Unassigned,7.2,4.05,4.47,6.26,3.48,1.95,5.98,4.84,5.1,4.77,4.79,8.21,12.9,5.91,6.41,9.19,2.69,5.52,6.48,6.13,5.95,5.54,7.05,6.92,8.8,5.76,6.22,11.6,3.02,6.87,6.17,5.98,7.03,6.15,8.65,5.45,7.82,7.36,78.3,2.96,4.86,8.76,4.55,4.88,3.02,3.24,35.1,3.63,3.13,4.88,1.36,2.71,2.1,14.3,8.27,19.4,1.31,5.58,3.5,5.49,1.14,5.06,22.9,72,34.6,5.34,18.7,3.15,4.03,3.55,2.78,3.15,9.48,7.77,12.1,18.5,7.09,8.89,9.57,2.63,10.5,19,42.7,16.6,5.19,7.97,3.83,6.52,8.01,10.5,5.78,0.854,20.3
Chaetoceros,7.18,6.59,7.62,12.3,9.72,1.27,10.6,5.21,2.32,5.65,4.51,3.44,3.55,2.32,5.06,24.5,9.65,15.7,18.2,15.4,1.66,0.613,1.51,5.74,14.7,29.8,24.4,13.3,1.69,13.5,7.77,7.64,18.9,11.4,17,10.4,9.89,16.2,2.21,3.59,17.6,11.6,27.2,28.8,10.2,2.45,10.8,6.81,4.68,18.1,3.81,23.7,2.65,18.7,10.6,9.15,2.32,15.3,2.45,19.2,3.2,16.6,3.92,3.33,4.29,2.15,2.98,2.23,3.31,1.97,3.28,3.04,47.2,26.3,25,18.4,4.14,26.9,6.44,4.16,6.44,7.71,6.22,18.6,10.2,10.6,17.4,61.8,52.4,46.5,58,2.08,2.8
Navicula,2.25,5.47,7.09,6.61,5.78,1.03,3.98,12,18,7.18,12.3,13.5,16.8,15.4,9.81,7.75,1.58,2.25,4.49,4.51,5.87,12.1,8.25,7.09,21.5,2.41,4.33,20.3,10.7,4.29,2.45,2.67,2.39,1.29,1.95,3.26,2.61,2.87,4.71,23.6,17.1,6.33,7.68,14.7,33.1,1.03,14.8,16.5,18.5,4.36,0.963,8.38,1.01,8.67,8.36,13.6,82.2,17.1,45.6,12.4,49.4,8.06,18.6,5.3,24.1,45.6,52.6,11.7,59.9,62.1,61.6,67.2,25.5,27.1,5.91,28.4,10.2,13.4,46,6.5,47.2,2.8,11.4,8.84,36.6,10.7,7.38,2.28,9.37,4.62,7.09,0.722,2.4
Amphora,0.679,10.5,8.58,4.23,2.93,0.0219,0.482,2.17,6.09,1.2,22.8,9.26,5.87,4.38,1.09,0.35,0.416,0.722,0.591,0.591,1.77,7.42,2.67,1.86,0.985,0.569,0.547,1.18,0.0657,1.07,0.416,0.328,0.197,0.35,0.438,0.153,0.241,0.0876,1.01,34.7,6.26,3.74,4.4,4.2,7.49,0.328,5.78,18.1,32.1,0.985,0.197,0.547,0.35,5.95,1.4,1.6,1.9,10.5,7.4,5.91,21.2,1.93,0.0657,0.153,0.263,0.394,0.175,0.328,1.27,0.504,0.679,0.35,1.69,1.64,0.0657,1.07,1.23,1.53,4.16,0.963,7.55,0.219,1.6,0.285,3.04,0.81,3.94,0.263,0.263,0.416,0.263,0,2.2
Paraphysomonas,8.36,2.61,2.61,6.33,1.73,0.197,5.47,1.16,0.328,3.55,5.41,1.42,3.81,6.55,3.9,1.31,2.06,6.46,8.71,7.51,4.53,4.09,3.74,6.41,1.07,0.832,4.16,8.63,0.153,5.82,0.854,8.23,1.29,5.49,13,3.5,17,4.75,0.0657,0.438,0.372,0.46,2.1,0.657,0.35,0.0876,0.153,0.0438,0.0219,0.46,0.0876,0.263,0.0219,0.788,0.285,0.306,0.0438,0.504,0.0657,0.919,0.0876,0.722,0.131,0.0438,0.416,0.219,0.569,0.0438,0.109,0,0.109,0.0438,0.482,1.95,0.504,1.55,0.241,0.394,0.263,0.197,0.197,0.328,8.12,0.153,0.722,0.306,0.416,0.482,0.285,0.46,0.613,0.0438,2.1
Thalassiosira,5.47,6.96,4.84,4.18,4.27,82.6,17.7,6.79,4.12,5.32,3.83,5.85,6.46,4.66,4.71,7.36,26.9,6.04,8.41,11.7,3.57,2.98,3.42,6.68,5.39,7.77,6.48,4.23,1.42,6.22,6.63,8.84,11.6,5.21,10.3,20.4,15.4,15.6,0.591,2.32,3.7,8.17,1.51,5.76,4.9,1.07,4.58,4.9,4.2,20.8,1.03,36.8,0.722,2.96,9.11,1.29,0.438,4.47,1.03,7.22,0.919,8.23,0.635,0.219,1.55,0.285,0.504,0.482,0.591,0.197,0.306,0.219,0.722,2.67,0.876,1.23,0.306,4.49,2.65,1.69,1.36,2.01,0.744,2.32,1.09,2.89,3.44,0.438,1.2,0.919,0.744,0.416,2
E222,0.197,0.0438,0,0.109,0.0219,0.0219,0.0657,0.0657,0.197,0.0876,0.219,0.175,0.131,0.285,0.0219,0.197,0.0876,0.153,0.241,0.306,0.0219,0.0219,0.0438,0.175,0.197,0.219,0.131,0.0657,0.0438,0.175,0.0876,0.306,0.263,0.131,0.306,0.219,0.197,0.175,0.0657,0,0.0438,0.0219,0.0219,0.153,0,0.0219,0.0438,0,0.0219,0,0,0,0.0438,0.0657,0.197,0.109,0.0219,0.0876,0,0.0219,0,0.0657,0,0,0,0.0219,0.0219,0,0,0,0,0.0219,0,0.109,0.0438,0,0,0.197,0.0219,0,0,0.0657,0,0.0219,0.0219,0.0876,0.0438,0.131,0.131,0.109,0.0438,0,1.9
Nitzschia,1.62,4.51,1.18,1.73,1.49,0.197,0.35,4.25,2.78,2.01,11.5,5.43,1.82,1.93,3.15,2.21,0.547,1.93,2.06,1.66,4.51,7.31,3.02,3.68,1.31,0.591,1.38,2.69,2.01,1.69,3.96,1.03,0.985,1.84,1.38,0.963,0.46,0.46,0.306,9.79,1.18,1.6,2.17,1.29,0.679,0.153,2.15,1.03,1.05,0.701,0.197,0.306,0.219,2.39,0.482,4.14,1.18,1.2,3.59,1.73,2.12,0.525,0.635,0.394,0.832,0.941,2.23,0.788,4.64,1.49,6.04,3.7,2.06,1.47,0.263,1.97,1.58,0.898,2.91,0.35,1.07,0.0876,6.48,0.679,1.64,1.09,1.23,0.153,0.788,0.876,0.46,0.0657,1.9
Protoperidinium,0.46,0.766,1.75,0.919,0.285,0.0438,0.35,3.26,0.591,3,0.766,0.832,0.175,0.153,1.05,1.03,6.26,3.06,1.77,1.6,0.306,0.0657,0.0657,0.153,2.43,2.15,3.61,0.788,0.722,1.38,0.941,0.197,0.153,0.0657,0.263,0.175,0.285,3.7,0,0,0.0876,0.109,0.0219,0.131,0.0876,0.0219,0,0.0219,0.0438,0.0438,0,0.0219,0,0.0438,0.0657,0,0,0.0438,0,0.0219,0,0.0876,0,0,0.0438,0.0438,0,0.35,0.328,0.525,0.657,0.613,0.0657,0.0657,0,0.0438,0.0219,1.66,0.0438,0.0876,0,0.0438,0.131,0.0438,0.0876,0.0438,0.0219,0.0219,0.0876,0.285,0.0657,0,1.6
Chrysochromulina,0.0876,0.153,0.0438,0.0657,0.0657,0.0438,0.131,0.0657,0.0657,0.131,0.175,0.131,0.109,0.175,0.109,0.788,0.504,0.416,0.701,0.854,0.0438,0.0657,0.153,0.35,0.416,0.613,0.569,0.285,0.0657,0.635,0.46,0.679,0.701,0.416,0.941,0.525,0.328,0.569,0.0876,0.263,0.328,0.109,0.0657,0.504,0.0219,0.109,0,0.109,0.109,0.306,0,0.263,0.0438,0.328,0.679,0.263,0.153,0.46,0.219,0.175,0.0438,0.131,0.0219,0,0.131,0.0657,0.0438,0.131,0.109,0.0876,0.0219,0.109,0.0438,0.35,0.0438,0.109,0.0438,1.09,0.0219,0.306,0,0.525,0.153,0.219,0.197,0.394,0.175,0.482,0.328,0.416,0.109,0,1.4
