SampleID,EnvHKSumMc1,EnvHKSumMR1,EnvHKSumMR2,EnvHKSumMR3,EnvHKSumMR4,EnvHKSumPort1,EnvHKSumWWTP2,EnvHKWinBeach1,EnvHKWinBeach2,EnvHKWinBeach3,EnvHKWinEs1,EnvHKWinEs2,EnvHKWinEs4,EnvHKWinEs5,EnvHKWinMc1,EnvHKWinMc10,EnvHKWinMc11,EnvHKWinMc12,EnvHKWinMc13,EnvHKWinMc15,EnvHKWinMc2,EnvHKWinMc3,EnvHKWinMc4,EnvHKWinMc5,EnvHKWinMc6,EnvHKWinMc7,EnvHKWinMc8,EnvHKWinMc9,EnvHKWinMR1,EnvHKWinPort1,EnvHKWinPort2,EnvHKWinPort3,EnvHKWinPort4,EnvHKWinPort5,EnvHKWinWWTP1,EnvHKWinWWTP2,EnvHKWinWWTP3,EnvHKWinWWTP4,EnvQDSumBeach1,EnvQDSumBeach2,EnvQDSumBeach4,EnvQDSumBeach5,EnvQDSumEs1,EnvQDSumEs2,EnvQDSumEs3,EnvQDSumMc1,EnvQDSumMc2,EnvQDSumMc4,EnvQDSumMc5,EnvQDSumMR1,EnvQDSumMR2,EnvQDSumMR3,EnvQDSumPort1,EnvQDSumPort2,EnvQDSumPort3,EnvQDSumPort4,EnvQDSumPort5,EnvQDSumWWTP1,EnvQDSumWWTP2,EnvQDSumWWTP3,EnvQDSumWWTP4,EnvQDSumWWTP5,EnvQDWinBeach1,EnvQDWinBeach2,EnvQDWinBeach3,EnvQDWinBeach4,EnvQDWinBeach5,EnvQDWinEs1,EnvQDWinEs2,EnvQDWinEs3,EnvQDWinEs4,EnvQDWinEs5,EnvQDWinMc1,EnvQDWinMc2,EnvQDWinMc3,EnvQDWinMc4,EnvQDWinMc5,EnvQDWinMR1,EnvQDWinMR2,EnvQDWinMR3,EnvQDWinMR4,EnvQDWinMR5,EnvQDWinPort1,EnvQDWinPort2,EnvQDWinPort3,EnvQDWinPort4,EnvQDWinPort5,EnvQDWinWWTP1,EnvQDWinWWTP2,EnvQDWinWWTP3,EnvQDWinWWTP4,EnvQDWinWWTP5
Unassigned,12.8,13.4,1.73,5.41,2.06,6.5,10.4,2.21,2.69,3.79,4.36,2.8,3.26,2.39,12.3,3.06,4.42,4.64,3.59,3.61,14.2,14.6,13.4,9.54,3.15,2.04,2.82,1.8,3.9,0.963,2.43,0.832,3,6.44,6.17,6.48,5.41,6.33,3.37,4.14,4.27,3.46,2.45,3.46,2.74,2.41,2.63,1.31,0.832,2.04,4.97,2.67,2.93,2.19,1.66,3.26,4.09,3.22,4.14,3.66,3.92,4.6,8.49,10.6,14.6,11.7,13.1,21.8,14.5,7.29,3.77,12.3,6.46,5.21,10.7,8.45,4.31,15.9,16.9,16.4,17,16.6,10.6,11.3,10,8.56,13.9,3.57,2.12,2.98,3.39,5.34
Chaetoceros,3.59,0.569,1.05,1.16,3.2,7.71,4.97,2.89,4.25,6.33,1.77,1.86,2.12,2.52,1.51,1.9,1.62,3.55,4.64,4.53,1.66,1.73,2.36,0.306,2.08,1.05,0.35,0.547,2.56,1.58,1.64,0.766,4.79,3.06,2.15,5.04,3.92,7.97,3.57,6.28,4.66,5.08,49,36.4,43.9,41.2,28.8,72.2,78.9,81.7,45,64.2,3.26,8.52,7.22,15.1,6.74,42.3,55.1,47.2,20,10.9,9.46,11.3,11.6,12.4,15.9,9,8.87,13.2,3.42,9.28,61.9,67.1,75.5,46.7,62.4,9.11,13.2,6.9,6.76,8.34,41.7,28.9,39.7,48.7,22.1,82.8,84.1,78.3,79.6,76.8
Navicula,3.87,2.12,0.175,0.0876,0.175,1.29,5.91,0.46,0.744,1.01,0.109,0.0438,0.219,0.175,5.82,1.2,3.66,3.15,3.96,5.89,15.4,14.5,9.24,8.41,2.89,1.53,0.898,0.832,1.97,0.613,0.679,0.197,0.766,0.657,1.09,2.1,1.34,2.08,0.438,1.09,1.2,1.53,1.88,0.504,0.81,0.657,2.21,0.81,1.53,0.547,1.64,1.75,2.1,1.14,1.66,0.832,0.701,0.0876,0.109,0.328,0.263,0.109,6.41,8.01,10.7,14.1,4.64,2.39,1.31,1.55,0.744,1.27,2.43,4.01,1.47,7.51,3.79,0.766,2.52,1.03,1.01,2.21,1.42,3.63,1.84,2.41,1.05,0.744,1.58,0.832,0.788,1.55
Amphora,0.153,0.109,0.0219,0.0438,0.0219,0.131,0.0438,0.175,0.109,0.131,0.0657,0.0219,0.0219,0,0.35,1.4,1.03,0.744,1.12,2.01,0.591,0.285,0.219,0.197,0.569,0.35,0.766,0.832,1.97,0.0219,0.219,0.153,0.153,0,0.0657,0.0876,0.0438,0.0219,0.0876,0,0.263,0.504,0.197,0.0438,0,0.197,0.635,0.285,0.285,0.0438,0.175,0.372,0.131,0.591,0.372,0.0657,0.0219,1.44,0.109,0.175,0.0219,0.0657,0.285,0.46,0.241,0.613,0.285,0.0876,0.328,0.219,0.0657,0.0438,0.46,0.591,0.35,1.12,0.766,0.0657,0.241,0.153,0.153,0.131,0.306,0.153,0.525,0.438,0.0876,0.131,0.241,0.0876,0.0219,0.263
Paraphysomonas,1.55,0.919,0.0876,0.657,0.0657,2.28,4.77,0.438,0.898,3.26,0.175,0.416,0.0657,0.328,11.9,0.547,5.08,1.77,1.03,2.93,2.67,1.77,6.02,3.59,0.35,1.73,0.306,1.53,0.35,82.2,3.33,86,24.8,0.963,4.25,2.8,3.28,2.04,0.153,0.0657,0.131,0.0657,0.219,0.0438,0.131,0.0219,0.109,0.109,0.131,0.0219,0.46,0.219,0.0219,0.0876,0.131,0.131,0.0876,0.0657,0.285,0.613,0.0876,0.547,0.941,0.635,0.701,1.07,1.29,0.722,4.86,5.32,3.02,0.919,1.29,0.547,0.679,1.4,1.51,0.547,0.46,0.35,0.285,0.328,0.153,0.438,0.306,0.35,0.547,0.109,0.0876,0.35,0.241,0.197
Thalassiosira,43.7,17.8,30.1,47.9,46.5,35.5,33.8,11.5,15.6,11.3,1.8,1.38,1.29,1.03,7.18,10.5,16.6,15.7,16.9,18.3,9.33,11,10.7,7.36,12.5,25.4,14.2,8.25,10.4,1.09,4.29,1.14,2.93,14.8,15,17.6,20.1,18.9,4.14,3.81,3.46,1.6,18.3,26.6,28.1,1.99,4.47,0.504,0.766,1.07,7.38,2.78,5.49,8.06,1.73,7.57,2.08,5.17,3.61,7.64,2.71,2.01,1.66,1.23,0.919,1.27,1.05,0.744,0.591,0.744,0.328,1.44,2.21,1.34,0.569,2.39,1.09,0.744,1.12,1.12,0.241,0.438,0.832,0.941,1.58,1.01,1.66,1.03,1.38,1.55,1.44,0.963
E222,0.0219,0,0,0.0219,0.0219,0.0438,0.0876,0.197,0.416,0.328,0.0219,0.0438,0,0,0.0438,0.0876,0.0657,0.635,0.197,0.219,0.0876,0.153,0.0876,0.175,0.175,0.306,0.482,0.131,0.153,0.547,0.0438,0.197,0.197,2.28,1.77,1.53,0.876,0.679,0.306,0.241,0.219,0.175,0.0219,0.0219,0,0,0.0219,0,0,0,0.0876,0.0219,0,0.0438,0.0657,0.109,0.197,0.0438,0,0.0219,0.0657,0.0876,0.416,0.525,0.394,0.372,0.788,0,0.0219,0.0219,0.0219,0.0219,0.0876,0.0219,0.0219,0.0876,0.0219,0.876,0.482,0.46,0.635,0.504,0.394,0.35,0.46,0.394,0.263,0.109,0.0657,0.0438,0.0219,0.0657
Nitzschia,0.788,0.263,0.0657,0.0438,0.0438,0.504,0.306,0.898,0.613,0.569,0.306,0.197,0.153,0.263,5.69,0.416,0.591,0.569,0.569,1.69,9.85,9.94,8.6,3.02,0.941,0.722,0.131,0.328,0.547,0.241,0.219,0.131,0.197,0.504,1.12,1.75,0.722,1.47,0.0657,0.175,0.197,0.328,0.547,0.35,0.35,0.153,0.285,0.0438,0.131,0.0219,0.46,0.416,0.109,0.153,0.153,0.197,0.0438,0.482,0.438,0.547,0.285,0.131,0.876,1.03,1.42,1.75,0.438,0.219,0.241,0.263,0.219,0.219,0.788,1.23,0.394,2.39,0.701,0.0876,0.35,0.0876,0.153,0.109,0.197,0.175,0.285,0.197,0.131,0.175,0.0438,0.0876,0.131,0.197
Protoperidinium,1.14,0.81,0,0.0219,0.394,2.1,4.66,0.613,0.613,0.46,0.0219,0.0438,0.0657,0.525,0.416,1.27,0.328,1.38,0.591,1.2,0.109,0.0876,0.0438,0,0.306,0.0438,0.372,0.0438,0.898,0.0438,0.153,0.0657,1.09,1.99,2.41,1.58,2.98,3.5,0,0.0219,0.0219,0.0219,0,0.0219,0,0.0219,0.0438,0.0219,0,0.0438,0.0219,0.0438,0.0219,0.0876,0.0219,0.0219,0.0438,0.219,0.285,0.175,0.131,0.0438,0.0657,0.263,0.241,0.175,0.0657,0.0219,0.0876,0,0.0219,0.0219,0.0657,0.0438,0.0219,0.0657,0.0438,0.285,0.0876,0.241,0.175,0.197,0.306,0.263,0.153,0.219,0.197,0.109,0.0219,0.153,0.197,0.109
Chrysochromulina,0.153,0.0219,0.0657,0.0657,0.0657,0.109,0.241,0.438,0.306,0.35,0.35,0.241,0.175,0.35,0.0876,0.131,0.0876,0.219,0.263,0.175,0.0876,0.109,0.175,0.219,0.197,0.153,0.109,0.0657,0.35,0.0876,0.131,0.0219,0.0438,1.84,1.05,1.14,0.876,0.613,0.416,0.525,0.394,0.657,0.0438,0.0657,0.109,0.109,0.285,0.0876,0.109,0.0219,0.241,0.197,0.613,0.35,0.591,0.635,1.12,0.197,0.131,0.241,0.657,0.46,2.12,1.69,1.88,1.66,3.55,0.0657,0.0438,0.109,0,0.0657,0.175,0.241,0.131,0.241,0.153,3.92,4.33,4.01,2.8,3.31,1.03,1.53,1.27,1.16,0.81,0.175,0.241,0.328,0.153,0.285
